Participant Id,Trial Index,Instance Id,XAIType,Tested w/ XAI,AI prediction,Time,Changed feature index,Changed feature name,Changed feature type,Changed from,Changed to,Changed amount,DT prediction (CF),LR prediction (CF),Changed prediction (DT),Changed prediction (LR),Changed explainer,Changed AI prediction,AI prediction (CF),condition,model,app_id,complexity,Model strategy,Model depth,Model changed feature index,Model changed feature name,Model changed amount,Model AI prediction (CF),Model changed AI prediction,Model XAI prediction (CF),Model changed XAI prediction,Model mean_delta for chosen feature,Trial NLL,Trial MAE,retrieval_threshold,over_margin,chi,Best NLL,Best MAE,Best time,Best retrieval_threshold,Best over_margin,Best chi,Model strategy,Model depth,Model changed feature index,Model changed feature name,Model changed amount,Model AI prediction (CF),Model changed AI prediction,Model XAI prediction (CF),Model changed XAI prediction,Model mean_delta for chosen feature
6722f0dfa5df03f57bfa6c41,18130,255.0,DT,w/o XAI,0.0,11.987,3.0,Vinegar Taint,numeric,0.66,0.56,-0.1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,DT,mlp,wine_quality,low,change_path_dt,0,3,Vinegar Taint,0.1,0,0,0,0,0.1,0.35364091386623003,0.22376800285404957,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,3,Vinegar Taint,0.1,0,0,0,0,0.1
6722f0dfa5df03f57bfa6c41,18131,195.0,DT,w/ XAI,0.0,12.756,0.0,Alcohol,numeric,10.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,DT,mlp,wine_quality,low,change_path_dt,1,0,Alcohol,1.0,1,1,1,1,1.0,1.3139693694246672,0.12895518514966578,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,1,0,Alcohol,1.0,1,1,1,1,1.0
6722f0dfa5df03f57bfa6c41,18132,187.0,DT,w/ XAI,1.0,10.056,0.0,Alcohol,numeric,12.0,11.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,DT,mlp,wine_quality,low,change_path_dt,1,0,Alcohol,1.0,0,1,0,1,1.0,1.3139693694246672,0.3340833902778706,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,1,0,Alcohol,1.0,0,1,0,1,1.0
6722f0dfa5df03f57bfa6c41,18133,133.0,DT,w/o XAI,0.0,23.874,3.0,Vinegar Taint,numeric,0.37,0.36,-0.01,1.0,0.0,1.0,0.0,1.0,1.0,0.0,DT,mlp,wine_quality,low,change_path_dt,0,3,Vinegar Taint,0.01,0,0,0,0,0.01,0.22852972262274357,0.17853231106243153,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,3,Vinegar Taint,0.01,0,0,0,0,0.01
6722f0dfa5df03f57bfa6c41,18134,205.0,DT,w/ XAI,1.0,34.344,3.0,Vinegar Taint,numeric,0.35,0.39,0.04,0.0,0.0,1.0,1.0,1.0,0.0,0.0,DT,mlp,wine_quality,low,change_path_dt,1,3,Vinegar Taint,0.04,1,0,1,0,0.04,0.31469888099490145,0.20533061694678398,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,1,3,Vinegar Taint,0.04,1,0,1,0,0.04
6722f0dfa5df03f57bfa6c41,18135,244.0,DT,w/ XAI,1.0,29.13,3.0,Vinegar Taint,numeric,0.31,0.57,0.26,0.0,1.0,1.0,0.0,1.0,1.0,1.0,DT,mlp,wine_quality,low,change_path_dt,1,3,Vinegar Taint,0.26,1,0,1,0,0.26,0.31469888099490145,0.21902174509574351,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,1,3,Vinegar Taint,0.26,1,0,1,0,0.26
6722f0dfa5df03f57bfa6c41,18136,339.0,DT,w/o XAI,0.0,41.279,3.0,Vinegar Taint,numeric,0.68,0.38,-0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DT,mlp,wine_quality,low,change_path_dt,0,3,Vinegar Taint,0.3,0,0,0,0,0.3,0.2685191533649407,0.04001439948256967,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,3,Vinegar Taint,0.3,0,0,0,0,0.3
6722f0dfa5df03f57bfa6c41,18137,137.0,DT,w/ XAI,1.0,13.513,0.0,Alcohol,numeric,13.0,11.0,-2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,DT,mlp,wine_quality,low,change_path_dt,1,0,Alcohol,2.0,0,1,0,1,2.0,1.3139693694246672,0.3084423646368451,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,1,0,Alcohol,2.0,0,1,0,1,2.0
6722f0dfa5df03f57bfa6c41,18138,89.0,DT,w/o XAI,1.0,16.427,0.0,Alcohol,numeric,13.0,11.0,-2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,DT,mlp,wine_quality,low,change_path_dt,0,0,Alcohol,2.0,0,1,0,1,2.0,1.1640193097772065,0.3084423646368451,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,0,Alcohol,2.0,0,1,0,1,2.0
6722f0dfa5df03f57bfa6c41,18139,111.0,DT,w/o XAI,0.0,22.456,3.0,Vinegar Taint,numeric,0.59,0.38,-0.21,0.0,1.0,0.0,1.0,0.0,0.0,1.0,DT,mlp,wine_quality,low,change_path_dt,0,3,Vinegar Taint,0.21,0,0,0,0,0.21,0.2685191533649407,0.20591456736035044,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,3,Vinegar Taint,0.21,0,0,0,0,0.21
6722f0dfa5df03f57bfa6c41,18140,384.0,DT,w/ XAI,0.0,23.603,3.0,Vinegar Taint,numeric,0.64,0.38,-0.26,0.0,1.0,0.0,1.0,0.0,1.0,0.0,DT,mlp,wine_quality,low,change_path_dt,1,3,Vinegar Taint,0.26,0,0,0,0,0.26,0.31469888099490145,0.19906900328587074,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,1,3,Vinegar Taint,0.26,0,0,0,0,0.26
6722f0dfa5df03f57bfa6c41,18141,194.0,DT,w/ XAI,0.0,19.836,0.0,Alcohol,numeric,9.9,12.0,2.1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,DT,mlp,wine_quality,low,change_path_dt,1,0,Alcohol,2.1,1,1,1,1,2.1,1.3139693694246672,0.07617301997853962,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,1,0,Alcohol,2.1,1,1,1,1,2.1
6722f0dfa5df03f57bfa6c41,18142,19.0,DT,w/o XAI,0.0,18.343,3.0,Vinegar Taint,numeric,0.64,0.38,-0.26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DT,mlp,wine_quality,low,change_path_dt,0,3,Vinegar Taint,0.26,0,0,0,0,0.26,0.3101745926591614,0.19797818983019416,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,3,Vinegar Taint,0.26,0,0,0,0,0.26
6722f0dfa5df03f57bfa6c41,18143,50.0,DT,w/ XAI,1.0,18.473,3.0,Vinegar Taint,numeric,0.26,0.39,0.13,0.0,0.0,1.0,1.0,1.0,1.0,1.0,DT,mlp,wine_quality,low,change_path_dt,0,3,Vinegar Taint,0.13,1,0,1,0,0.13,0.31469888099490145,0.20533061694678395,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,3,Vinegar Taint,0.13,1,0,1,0,0.13
6722f0dfa5df03f57bfa6c41,18144,215.0,DT,w/o XAI,1.0,18.772,0.0,Alcohol,numeric,13.0,11.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,DT,mlp,wine_quality,low,change_path_dt,0,0,Alcohol,2.0,0,1,0,1,2.0,1.1152764325612587,0.5128205128205128,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,0,Alcohol,2.0,0,1,0,1,2.0
6722f0dfa5df03f57bfa6c41,18145,104.0,DT,w/o XAI,0.0,49.102,0.0,Alcohol,numeric,10.0,12.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,DT,mlp,wine_quality,low,change_path_dt,0,0,Alcohol,2.0,1,1,1,1,2.0,1.2152603422385957,0.07617301997853951,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,0,Alcohol,2.0,1,1,1,1,2.0
6722f0dfa5df03f57bfa6c41,18146,113.0,DT,w/ XAI,1.0,11.634,3.0,Vinegar Taint,numeric,0.3,0.57,0.27,0.0,1.0,1.0,0.0,1.0,1.0,1.0,DT,mlp,wine_quality,low,change_path_dt,0,3,Vinegar Taint,0.27,1,0,1,0,0.27,0.31469888099490145,0.21902174509574351,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,3,Vinegar Taint,0.27,1,0,1,0,0.27
6722f0dfa5df03f57bfa6c41,18147,171.0,DT,w/o XAI,1.0,14.32,0.0,Alcohol,numeric,13.0,11.0,-2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,DT,mlp,wine_quality,low,change_path_dt,0,0,Alcohol,2.0,0,1,0,1,2.0,1.2692694979052326,0.41025641025641013,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,0,Alcohol,2.0,0,1,0,1,2.0
6722f0dfa5df03f57bfa6c41,18148,15.0,DT,w/o XAI,1.0,10.856,3.0,Vinegar Taint,numeric,0.31,0.39,0.08,0.0,0.0,1.0,1.0,1.0,0.0,0.0,DT,mlp,wine_quality,low,change_path_dt,0,3,Vinegar Taint,0.08,1,0,1,0,0.08,0.20911913002352883,0.21533567213256222,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,3,Vinegar Taint,0.08,1,0,1,0,0.08
6722f0dfa5df03f57bfa6c41,18149,138.0,DT,w/ XAI,1.0,20.379,0.0,Alcohol,numeric,12.0,11.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,DT,mlp,wine_quality,low,change_path_dt,0,0,Alcohol,1.0,0,1,0,1,1.0,1.3139693694246672,0.4358974358974361,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,0,Alcohol,1.0,0,1,0,1,1.0
6722f0dfa5df03f57bfa6c41,18150,44.0,DT,w/o XAI,1.0,14.775,3.0,Vinegar Taint,numeric,0.22,0.39,0.17,0.0,1.0,1.0,0.0,1.0,1.0,1.0,DT,mlp,wine_quality,low,change_path_dt,0,3,Vinegar Taint,0.17,1,0,1,0,0.17,0.33167160671676854,0.20533061694678398,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,3,Vinegar Taint,0.17,1,0,1,0,0.17
6722f0dfa5df03f57bfa6c41,18151,118.0,DT,w/o XAI,0.0,27.265,0.0,Alcohol,numeric,9.4,12.0,2.6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DT,mlp,wine_quality,low,change_path_dt,0,0,Alcohol,2.6,1,1,1,1,2.6,1.3869146412642686,0.07617301997853962,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,0,Alcohol,2.6,1,1,1,1,2.6
6722f0dfa5df03f57bfa6c41,18152,249.0,DT,w/ XAI,0.0,21.962,3.0,Vinegar Taint,numeric,0.78,0.38,-0.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,DT,mlp,wine_quality,low,change_path_dt,0,3,Vinegar Taint,0.4,0,0,0,0,0.4,0.31469888099490145,0.19906900328587074,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,3,Vinegar Taint,0.4,0,0,0,0,0.4
6722f0dfa5df03f57bfa6c41,18153,301.0,DT,w/o XAI,0.0,22.344,3.0,Vinegar Taint,numeric,0.43,0.38,-0.05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DT,mlp,wine_quality,low,change_path_dt,0,3,Vinegar Taint,0.05,0,0,0,0,0.05,0.22852972262274357,0.18629189521493686,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,3,Vinegar Taint,0.05,0,0,0,0,0.05
6722f0dfa5df03f57bfa6c41,18154,192.0,DT,w/o XAI,1.0,17.161,3.0,Vinegar Taint,numeric,0.57,0.58,0.01,0.0,1.0,1.0,0.0,1.0,1.0,1.0,DT,mlp,wine_quality,low,change_path_dt,0,3,Vinegar Taint,0.01,1,0,1,0,0.01,0.3101745926591614,0.23963417547490035,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,3,Vinegar Taint,0.01,1,0,1,0,0.01
6722f0dfa5df03f57bfa6c41,18155,18.0,DT,w/o XAI,1.0,18.773,3.0,Vinegar Taint,numeric,0.18,0.57,0.39,0.0,1.0,1.0,0.0,1.0,1.0,1.0,DT,mlp,wine_quality,low,change_path_dt,0,3,Vinegar Taint,0.39,1,0,1,0,0.39,0.3761037339034442,0.1953734328384497,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,3,Vinegar Taint,0.39,1,0,1,0,0.39
6722f0dfa5df03f57bfa6c41,18156,335.0,DT,w/ XAI,0.0,29.238,3.0,Vinegar Taint,numeric,0.7,0.38,-0.32,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DT,mlp,wine_quality,low,change_path_dt,0,3,Vinegar Taint,0.32,0,0,0,0,0.32,0.31469888099490145,0.2059145673603504,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,3,Vinegar Taint,0.32,0,0,0,0,0.32
6722f0dfa5df03f57bfa6c41,18157,78.0,DT,w/o XAI,0.0,32.316,3.0,Vinegar Taint,numeric,0.58,0.38,-0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DT,mlp,wine_quality,low,change_path_dt,0,3,Vinegar Taint,0.2,0,0,0,0,0.2,0.28912999173881737,0.023756184805680487,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,3,Vinegar Taint,0.2,0,0,0,0,0.2
6722f0dfa5df03f57bfa6c41,18158,219.0,DT,w/o XAI,0.0,21.538,0.0,Alcohol,numeric,10.0,12.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,DT,mlp,wine_quality,low,change_path_dt,0,0,Alcohol,2.0,1,1,1,1,2.0,1.1640193097772065,0.8461538461538463,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,0,Alcohol,2.0,1,1,1,1,2.0
6722f0dfa5df03f57bfa6c41,18159,326.0,DT,w/o XAI,1.0,14.001,3.0,Vinegar Taint,numeric,0.38,0.39,0.01,1.0,1.0,0.0,0.0,0.0,1.0,1.0,DT,mlp,wine_quality,low,change_path_dt,0,3,Vinegar Taint,0.01,1,0,1,0,0.01,0.28912999173881737,0.45348231464667477,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,0,3,Vinegar Taint,0.01,1,0,1,0,0.01
662444ee097e69a6198e2b61,6040,105.0,LR,w/ XAI,1.0,54.231,1.0,Height,numeric,7.0,7.5,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,LR,mlp,mushrooms,low,change_path_dt,1,1,Height,0.5,1,0,1,0,0.5,0.6743214835867272,0.416618044991938,-0.07380567621259648,0.20057217463696794,0.015216307191254153,0.8770073656626499,0.17203016039722244,7.623120715354931,-0.07380567621259648,0.20057217463696794,0.015216307191254153,change_path_dt,1,1,Height,0.5,1,0,1,0,0.5
662444ee097e69a6198e2b61,6041,87.0,LR,w/o XAI,0.0,20.551,2.0,Width,numeric,14.0,6.5,-7.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,LR,mlp,mushrooms,low,change_path_dt,1,2,Width,7.5,1,1,1,1,7.5,0.560870000585973,0.00347382140499244,-0.07380567621259648,0.20057217463696794,0.015216307191254153,0.8770073656626499,0.17203016039722244,7.623120715354931,-0.07380567621259648,0.20057217463696794,0.015216307191254153,change_path_dt,1,2,Width,7.5,1,1,1,1,7.5
662444ee097e69a6198e2b61,6042,208.0,LR,w/o XAI,1.0,18.069,2.0,Width,numeric,4.8,17.0,12.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,LR,mlp,mushrooms,low,change_path_dt,1,2,Width,12.2,0,1,0,1,12.2,0.560870000585973,0.022395718505240282,-0.07380567621259648,0.20057217463696794,0.015216307191254153,0.8770073656626499,0.17203016039722244,7.623120715354931,-0.07380567621259648,0.20057217463696794,0.015216307191254153,change_path_dt,1,2,Width,12.2,0,1,0,1,12.2
662444ee097e69a6198e2b61,6043,13.0,LR,w/ XAI,0.0,126.539,1.0,Height,numeric,4.6,7.8,3.2,0.0,1.0,0.0,1.0,1.0,0.0,1.0,LR,mlp,mushrooms,low,change_path_dt,1,1,Height,3.2,1,1,1,1,3.2,0.6743214835867272,0.1475674037698957,-0.07380567621259648,0.20057217463696794,0.015216307191254153,0.8770073656626499,0.17203016039722244,7.623120715354931,-0.07380567621259648,0.20057217463696794,0.015216307191254153,change_path_dt,1,1,Height,3.2,1,1,1,1,3.2
662444ee097e69a6198e2b61,6044,287.0,LR,w/o XAI,0.0,64.765,1.0,Height,numeric,5.2,8.1,2.9,0.0,1.0,0.0,1.0,1.0,1.0,0.0,LR,mlp,mushrooms,low,change_path_dt,1,1,Height,2.9,1,1,1,1,2.9,1.0249710638198877,0.32437519149122385,-0.07380567621259648,0.20057217463696794,0.015216307191254153,0.8770073656626499,0.17203016039722244,7.623120715354931,-0.07380567621259648,0.20057217463696794,0.015216307191254153,change_path_dt,1,1,Height,2.9,1,1,1,1,2.9
662444ee097e69a6198e2b61,6045,355.0,LR,w/ XAI,1.0,59.359,2.0,Width,numeric,11.0,15.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,LR,mlp,mushrooms,low,change_path_dt,1,2,Width,4.0,0,1,0,1,4.0,1.4055021722480254,0.1588575415317178,-0.07380567621259648,0.20057217463696794,0.015216307191254153,0.8770073656626499,0.17203016039722244,7.623120715354931,-0.07380567621259648,0.20057217463696794,0.015216307191254153,change_path_dt,1,2,Width,4.0,0,1,0,1,4.0
