Participant Id,Condition,Model,dataId,Complexity,Phase,Trial Index,Instance Id,XAIType,Tested w/ XAI,Model Pred Time,Time,Response,AI Prediction (y),Model Prediction,Objective
69,DT,mlp,mushrooms,high,,37,381.0,DT,False,10.515821163455156,6.863,20,1,1,26.951295264802415
69,DT,mlp,mushrooms,high,,38,386.0,DT,False,10.43806757982388,5.467,60,1,1,26.951295264802415
69,DT,mlp,mushrooms,high,,39,205.0,DT,False,3.7469212830775582,6.744,-80,0,0,26.951295264802415
273,DT,mlp,mushrooms,high,,0,73.0,DT,False,0.2009302626229168,41.114,40,0,1,21.491130586463672
273,DT,mlp,mushrooms,high,,1,180.0,DT,True,0.2041180730709053,82.951,60,1,0,21.491130586463672
273,DT,mlp,mushrooms,high,,2,162.0,DT,True,0.2017333008495844,26.552,60,1,1,21.491130586463672
273,DT,mlp,mushrooms,high,,3,228.0,DT,True,4.406734061958073,16.087,-80,0,0,21.491130586463672
273,DT,mlp,mushrooms,high,,4,6.0,DT,False,7.118699681878184,22.463,80,1,1,21.491130586463672
273,DT,mlp,mushrooms,high,,5,40.0,DT,False,5.996885014220551,19.972,-80,0,1,21.491130586463672
273,DT,mlp,mushrooms,high,,6,100.0,DT,True,5.322507461397429,17.15,100,0,1,21.491130586463672
273,DT,mlp,mushrooms,high,,7,376.0,DT,True,6.379503627820191,16.893,-80,0,1,21.491130586463672
273,DT,mlp,mushrooms,high,,8,299.0,DT,True,7.686596356704834,13.719,80,1,1,21.491130586463672
273,DT,mlp,mushrooms,high,,9,379.0,DT,True,7.272592489812037,16.642,80,0,1,21.491130586463672
273,DT,mlp,mushrooms,high,,10,335.0,DT,True,6.375461652648762,20.527,-60,0,1,21.491130586463672
273,DT,mlp,mushrooms,high,,11,2.0,DT,False,7.595346601329352,36.514,60,1,1,21.491130586463672
273,DT,mlp,mushrooms,high,,12,360.0,DT,True,6.256845412492775,17.193,-20,0,1,21.491130586463672
273,DT,mlp,mushrooms,high,,13,215.0,DT,True,3.771262193605075,16.501,-60,0,1,21.491130586463672
273,DT,mlp,mushrooms,high,,14,357.0,DT,False,10.550543035859718,21.813,40,1,1,21.491130586463672
273,DT,mlp,mushrooms,high,,15,113.0,DT,True,6.717514651708558,13.069,-40,0,0,21.491130586463672
273,DT,mlp,mushrooms,high,,16,386.0,DT,False,10.73733049488674,14.325,40,1,1,21.491130586463672
273,DT,mlp,mushrooms,high,,17,352.0,DT,True,7.181069906175479,56.282,40,1,1,21.491130586463672
273,DT,mlp,mushrooms,high,,18,18.0,DT,True,7.0006968035069885,10.919,-60,0,0,21.491130586463672
273,DT,mlp,mushrooms,high,,19,197.0,DT,True,6.7583378645666965,12.438,-60,0,0,21.491130586463672
273,DT,mlp,mushrooms,high,,20,4.0,DT,True,7.711970020593384,10.887,-80,1,0,21.491130586463672
273,DT,mlp,mushrooms,high,,21,156.0,DT,False,3.785999366358363,37.132,-20,0,0,21.491130586463672
273,DT,mlp,mushrooms,high,,22,165.0,DT,False,10.666201360222916,16.079,-40,0,0,21.491130586463672
273,DT,mlp,mushrooms,high,,23,227.0,DT,False,10.300683001897738,17.152,-60,1,1,21.491130586463672
273,DT,mlp,mushrooms,high,,24,225.0,DT,False,3.9455273198713545,9.898,-40,0,1,21.491130586463672
273,DT,mlp,mushrooms,high,,25,142.0,DT,True,7.304892889075371,20.037,40,1,1,21.491130586463672
273,DT,mlp,mushrooms,high,,26,170.0,DT,False,10.27850584251129,19.784,60,1,1,21.491130586463672
273,DT,mlp,mushrooms,high,,27,234.0,DT,True,10.407962884349446,13.482,80,1,1,21.491130586463672
273,DT,mlp,mushrooms,high,,28,369.0,DT,False,10.22447266460308,21.711,80,1,0,21.491130586463672
273,DT,mlp,mushrooms,high,,29,155.0,DT,False,10.424457676215583,12.904,80,1,1,21.491130586463672
273,DT,mlp,mushrooms,high,,30,66.0,DT,False,3.696624536484149,13.91,-60,0,1,21.491130586463672
273,DT,mlp,mushrooms,high,,31,323.0,DT,False,10.773736495278268,7.759,-40,1,1,21.491130586463672
273,DT,mlp,mushrooms,high,,32,138.0,DT,True,8.676975049434263,20.137,-40,0,0,21.491130586463672
273,DT,mlp,mushrooms,high,,33,279.0,DT,True,10.070486799259434,10.29,80,1,1,21.491130586463672
273,DT,mlp,mushrooms,high,,34,186.0,DT,True,3.804193366276972,9.213,-40,0,1,21.491130586463672
273,DT,mlp,mushrooms,high,,35,231.0,DT,False,3.922291936866944,18.485,-40,1,1,21.491130586463672
273,DT,mlp,mushrooms,high,,36,96.0,DT,True,4.031877558490417,18.18,-20,0,0,21.491130586463672
273,DT,mlp,mushrooms,high,,37,325.0,DT,False,8.654100210398187,7.072,-40,0,0,21.491130586463672
273,DT,mlp,mushrooms,high,,38,247.0,DT,True,10.129926503648734,12.976,-60,1,1,21.491130586463672
273,DT,mlp,mushrooms,high,,39,395.0,DT,False,8.481213917734323,12.294,-60,0,0,21.491130586463672
272,DT,mlp,mushrooms,high,,0,305.0,DT,True,15.448242648783507,64.571,80,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,1,241.0,DT,False,0.2007630242372293,15.127,-20,1,0,17.788692030276547
272,DT,mlp,mushrooms,high,,2,242.0,DT,True,7.607559966777894,31.068,100,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,3,236.0,DT,False,4.700634099448384,18.466,-60,0,1,17.788692030276547
272,DT,mlp,mushrooms,high,,4,230.0,DT,False,10.070804532856537,12.202,40,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,5,3.0,DT,True,3.682654598589159,16.137,-100,0,0,17.788692030276547
272,DT,mlp,mushrooms,high,,6,89.0,DT,False,6.253846339923081,97.149,20,0,0,17.788692030276547
272,DT,mlp,mushrooms,high,,7,180.0,DT,True,8.30978533848481,14.575,100,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,8,280.0,DT,False,8.75578936384905,12.762,20,1,0,17.788692030276547
272,DT,mlp,mushrooms,high,,9,46.0,DT,True,8.815756176588941,23.834,100,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,10,329.0,DT,False,9.613680852038284,16.876,-20,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,11,202.0,DT,False,10.382220498511565,5.621,20,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,12,109.0,DT,True,10.482708273544612,22.268,100,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,13,322.0,DT,False,7.034416337949677,9.146,-40,0,1,17.788692030276547
272,DT,mlp,mushrooms,high,,14,333.0,DT,True,3.8103672178655255,39.221,-100,0,1,17.788692030276547
272,DT,mlp,mushrooms,high,,15,399.0,DT,False,10.349952467336216,24.702,60,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,16,339.0,DT,True,6.338292483613336,7.186,-100,0,1,17.788692030276547
272,DT,mlp,mushrooms,high,,17,313.0,DT,False,7.3722257214842655,9.278,-40,0,0,17.788692030276547
272,DT,mlp,mushrooms,high,,18,377.0,DT,False,8.18545559943153,8.273,-60,0,0,17.788692030276547
272,DT,mlp,mushrooms,high,,19,218.0,DT,False,10.955844248761585,9.015,20,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,20,308.0,DT,False,10.366736463019912,15.22,40,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,21,120.0,DT,False,9.545776224586549,8.682,60,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,22,351.0,DT,True,4.463410887561834,7.325,-100,0,0,17.788692030276547
272,DT,mlp,mushrooms,high,,23,181.0,DT,True,10.14681125229352,8.355,60,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,24,95.0,DT,False,4.477691597659261,12.038,-80,0,1,17.788692030276547
272,DT,mlp,mushrooms,high,,25,282.0,DT,False,7.153121517055994,5.899,-100,1,0,17.788692030276547
272,DT,mlp,mushrooms,high,,26,58.0,DT,True,4.471869499881858,8.565,-100,0,0,17.788692030276547
272,DT,mlp,mushrooms,high,,27,30.0,DT,True,10.53328630458729,9.474,100,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,28,290.0,DT,True,9.981148026350256,7.811,100,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,29,250.0,DT,False,10.7740136785692,13.112,100,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,30,48.0,DT,False,4.7524997089062095,36.512,-100,0,0,17.788692030276547
272,DT,mlp,mushrooms,high,,31,266.0,DT,True,4.206194272724064,32.574,-100,0,1,17.788692030276547
272,DT,mlp,mushrooms,high,,32,379.0,DT,False,10.366553308864749,23.075,60,0,1,17.788692030276547
272,DT,mlp,mushrooms,high,,33,238.0,DT,False,10.705804297704304,14.483,100,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,34,380.0,DT,False,4.709303026835272,32.73,-40,0,1,17.788692030276547
272,DT,mlp,mushrooms,high,,35,279.0,DT,False,10.453814801611449,11.155,40,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,36,358.0,DT,True,10.624838052756504,7.004,100,1,1,17.788692030276547
272,DT,mlp,mushrooms,high,,37,105.0,DT,False,7.268128678542138,9.122,60,1,0,17.788692030276547
272,DT,mlp,mushrooms,high,,38,61.0,DT,True,7.255884071010469,7.412,-100,0,0,17.788692030276547
272,DT,mlp,mushrooms,high,,39,150.0,DT,True,7.437285141281615,6.341,-100,0,1,17.788692030276547
161,DT,mlp,mushrooms,low,,0,202.0,DT,False,0.2078377412151091,19.202,-40,1,0,34.6366318292715
161,DT,mlp,mushrooms,low,,1,72.0,DT,True,0.271248501406152,20.675,20,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,2,23.0,DT,False,0.3574450746250347,14.621,-60,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,3,13.0,DT,True,5.243632964121194,6.849,20,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,4,106.0,DT,True,5.498470402042167,6.444,60,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,5,17.0,DT,True,6.3912751753100805,6.624,-60,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,6,19.0,DT,False,4.952425768340461,3.837,60,1,1,34.6366318292715
161,DT,mlp,mushrooms,low,,7,339.0,DT,False,5.234403938150694,10.322,20,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,8,153.0,DT,True,6.277661474590676,5.246,-60,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,9,251.0,DT,False,7.074897952569653,5.74,60,1,1,34.6366318292715
161,DT,mlp,mushrooms,low,,10,237.0,DT,True,6.090047813117902,7.739,20,1,1,34.6366318292715
161,DT,mlp,mushrooms,low,,11,91.0,DT,False,7.1341383513717265,4.63,-40,1,1,34.6366318292715
161,DT,mlp,mushrooms,low,,12,307.0,DT,True,6.05279642175242,4.784,40,1,1,34.6366318292715
161,DT,mlp,mushrooms,low,,13,203.0,DT,True,3.494396941880169,3.316,100,0,1,34.6366318292715
161,DT,mlp,mushrooms,low,,14,232.0,DT,False,3.72494081704457,15.205,-80,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,15,287.0,DT,True,6.087113957650978,29.612,-40,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,16,387.0,DT,False,6.987426758573779,7.444,-100,0,1,34.6366318292715
161,DT,mlp,mushrooms,low,,17,181.0,DT,True,6.077891859583271,20.529,-40,1,0,34.6366318292715
161,DT,mlp,mushrooms,low,,18,156.0,DT,False,3.837517245894844,4.24,100,0,1,34.6366318292715
161,DT,mlp,mushrooms,low,,19,316.0,DT,False,6.926958668781733,8.474,20,1,1,34.6366318292715
161,DT,mlp,mushrooms,low,,20,347.0,DT,False,7.0061706988201635,7.257,-20,1,1,34.6366318292715
161,DT,mlp,mushrooms,low,,21,87.0,DT,False,6.857431279989544,5.503,-20,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,22,188.0,DT,True,7.077138020957478,6.601,-20,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,23,29.0,DT,False,7.028584148461532,5.91,-60,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,24,241.0,DT,True,6.991101667374935,7.84,20,1,1,34.6366318292715
161,DT,mlp,mushrooms,low,,25,340.0,DT,False,6.896683416850839,4.471,-100,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,26,337.0,DT,False,6.91962156536966,5.964,-40,1,0,34.6366318292715
161,DT,mlp,mushrooms,low,,27,197.0,DT,True,6.985035645783053,46.423,20,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,28,45.0,DT,False,6.885420071390273,4.695,-80,0,1,34.6366318292715
161,DT,mlp,mushrooms,low,,29,243.0,DT,False,6.9083735083379585,6.581,20,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,30,227.0,DT,True,6.972628017855707,4.969,20,1,1,34.6366318292715
161,DT,mlp,mushrooms,low,,31,367.0,DT,True,7.031785487148453,8.7,80,1,1,34.6366318292715
161,DT,mlp,mushrooms,low,,32,372.0,DT,True,3.775849574256288,3.861,100,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,33,353.0,DT,True,6.8662732679111045,17.271,20,1,1,34.6366318292715
161,DT,mlp,mushrooms,low,,34,58.0,DT,False,3.884264024890159,5.581,-40,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,35,107.0,DT,False,6.902677339008665,27.744,-20,1,1,34.6366318292715
161,DT,mlp,mushrooms,low,,36,211.0,DT,False,6.9746557100096584,4.279,40,1,0,34.6366318292715
161,DT,mlp,mushrooms,low,,37,122.0,DT,True,6.9307526128352945,19.072,-20,1,1,34.6366318292715
161,DT,mlp,mushrooms,low,,38,258.0,DT,True,6.9365123740771955,16.384,-100,0,0,34.6366318292715
161,DT,mlp,mushrooms,low,,39,397.0,DT,False,3.64058828440809,6.092,40,0,0,34.6366318292715
45,DT,mlp,mushrooms,high,,0,33.0,DT,False,0.2105018686131511,24.843,-20,1,1,19.78323728704416
45,DT,mlp,mushrooms,high,,1,321.0,DT,False,0.2071932164780439,10.378,20,1,0,19.78323728704416
45,DT,mlp,mushrooms,high,,2,287.0,DT,True,0.2137485020462374,31.887,-100,0,1,19.78323728704416
45,DT,mlp,mushrooms,high,,3,1.0,DT,False,0.2294824947977564,17.145,20,1,1,19.78323728704416
45,DT,mlp,mushrooms,high,,4,374.0,DT,True,6.531059988004946,69.9,-100,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,5,169.0,DT,False,5.384928963626009,62.929,-40,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,6,206.0,DT,False,6.48578358995926,3.893,-40,0,1,19.78323728704416
45,DT,mlp,mushrooms,high,,7,390.0,DT,True,5.176969157201404,39.484,-100,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,8,185.0,DT,False,5.992761735244555,6.047,-100,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,9,96.0,DT,True,3.4281647851575943,11.014,-100,0,1,19.78323728704416
45,DT,mlp,mushrooms,high,,10,313.0,DT,True,6.690888682496549,16.838,-100,0,1,19.78323728704416
45,DT,mlp,mushrooms,high,,11,23.0,DT,True,7.868534502191265,9.699,-100,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,12,360.0,DT,False,8.584438070710506,4.331,-100,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,13,155.0,DT,False,7.995713901452607,11.987,20,1,1,19.78323728704416
45,DT,mlp,mushrooms,high,,14,232.0,DT,True,3.446836190185998,16.965,-100,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,15,215.0,DT,True,3.487983956220249,3.676,-100,0,1,19.78323728704416
45,DT,mlp,mushrooms,high,,16,50.0,DT,True,6.080590771543366,8.45,-100,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,17,140.0,DT,False,6.585153016096788,9.028,60,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,18,378.0,DT,False,10.456804870624888,12.226,40,1,1,19.78323728704416
45,DT,mlp,mushrooms,high,,19,263.0,DT,False,10.061477200002672,19.729,40,1,0,19.78323728704416
45,DT,mlp,mushrooms,high,,20,214.0,DT,True,8.468499778464757,25.011,100,1,1,19.78323728704416
45,DT,mlp,mushrooms,high,,21,366.0,DT,False,8.767684434456047,7.275,-100,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,22,307.0,DT,True,10.55426039557531,11.621,100,1,1,19.78323728704416
45,DT,mlp,mushrooms,high,,23,305.0,DT,True,10.054021837177848,13.534,100,1,1,19.78323728704416
45,DT,mlp,mushrooms,high,,24,13.0,DT,False,8.684427198959927,8.275,-100,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,25,382.0,DT,True,8.706281909946963,5.701,-100,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,26,286.0,DT,True,9.9921049718443,8.545,100,1,1,19.78323728704416
45,DT,mlp,mushrooms,high,,27,398.0,DT,False,10.673794884421934,10.727,-40,1,1,19.78323728704416
45,DT,mlp,mushrooms,high,,28,152.0,DT,True,8.610052290924466,12.623,-100,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,29,250.0,DT,True,10.35069730433551,10.014,100,1,1,19.78323728704416
45,DT,mlp,mushrooms,high,,30,249.0,DT,False,8.481602802231869,4.666,-100,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,31,336.0,DT,True,10.45418272159268,8.416,-100,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,32,188.0,DT,False,8.577724295474392,5.184,-100,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,33,12.0,DT,False,4.035368095398146,11.406,-20,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,34,391.0,DT,False,8.593783196608099,15.221,20,1,0,19.78323728704416
45,DT,mlp,mushrooms,high,,35,261.0,DT,False,10.339063945921984,11.755,-20,0,0,19.78323728704416
45,DT,mlp,mushrooms,high,,36,294.0,DT,False,10.254181226131116,27.904,-100,1,1,19.78323728704416
45,DT,mlp,mushrooms,high,,37,242.0,DT,False,10.567571335156387,23.758,20,1,1,19.78323728704416
45,DT,mlp,mushrooms,high,,38,156.0,DT,True,3.909679194167998,16.244,-100,0,1,19.78323728704416
45,DT,mlp,mushrooms,high,,39,280.0,DT,True,9.894613468998362,12.491,100,1,1,19.78323728704416
49,DT,mlp,mushrooms,high,,0,54.0,DT,True,15.783700358835834,45.032,60,1,0,26.408315148866524
49,DT,mlp,mushrooms,high,,1,391.0,DT,False,0.2007599842244314,10.002,20,1,1,26.408315148866524
49,DT,mlp,mushrooms,high,,2,142.0,DT,False,4.824749853149834,9.48,-20,1,1,26.408315148866524
49,DT,mlp,mushrooms,high,,3,201.0,DT,True,2.529925127695647,34.447,80,1,1,26.408315148866524
49,DT,mlp,mushrooms,high,,4,96.0,DT,True,2.873594834189424,15.06,-80,0,1,26.408315148866524
49,DT,mlp,mushrooms,high,,5,158.0,DT,False,5.778668554400915,10.394,-80,0,1,26.408315148866524
49,DT,mlp,mushrooms,high,,6,77.0,DT,False,5.964975852421981,7.194,-80,0,1,26.408315148866524
49,DT,mlp,mushrooms,high,,7,18.0,DT,True,4.616880385544208,14.644,-100,0,0,26.408315148866524
49,DT,mlp,mushrooms,high,,8,375.0,DT,False,5.444891054940876,9.783,-20,1,0,26.408315148866524
49,DT,mlp,mushrooms,high,,9,98.0,DT,False,7.876715295558784,7.866,40,1,1,26.408315148866524
49,DT,mlp,mushrooms,high,,10,103.0,DT,False,8.439698604993378,8.695,60,0,0,26.408315148866524
49,DT,mlp,mushrooms,high,,11,209.0,DT,False,8.159840357602624,8.178,-20,0,0,26.408315148866524
49,DT,mlp,mushrooms,high,,12,178.0,DT,True,6.895203876466062,61.319,80,1,1,26.408315148866524
49,DT,mlp,mushrooms,high,,13,274.0,DT,True,5.817117646838503,13.553,100,1,0,26.408315148866524
49,DT,mlp,mushrooms,high,,14,390.0,DT,True,8.9942852609793,16.283,-80,0,1,26.408315148866524
49,DT,mlp,mushrooms,high,,15,59.0,DT,False,8.514478452346554,13.753,-80,1,0,26.408315148866524
49,DT,mlp,mushrooms,high,,16,220.0,DT,True,9.239521459910495,18.709,-60,0,1,26.408315148866524
49,DT,mlp,mushrooms,high,,17,20.0,DT,False,4.3901309750082875,14.914,20,0,0,26.408315148866524
49,DT,mlp,mushrooms,high,,18,280.0,DT,True,8.985595065920533,14.607,80,1,1,26.408315148866524
49,DT,mlp,mushrooms,high,,19,281.0,DT,False,10.76180956503374,15.891,60,1,1,26.408315148866524
49,DT,mlp,mushrooms,high,,20,282.0,DT,True,8.458151782541375,11.416,-80,1,0,26.408315148866524
49,DT,mlp,mushrooms,high,,21,243.0,DT,True,8.594176887070494,10.53,20,0,1,26.408315148866524
49,DT,mlp,mushrooms,high,,22,254.0,DT,False,3.729208116113195,9.709,-80,0,0,26.408315148866524
49,DT,mlp,mushrooms,high,,23,113.0,DT,True,8.769121266726284,15.55,-20,0,0,26.408315148866524
49,DT,mlp,mushrooms,high,,24,301.0,DT,False,10.015668554655289,14.513,-60,1,1,26.408315148866524
49,DT,mlp,mushrooms,high,,25,51.0,DT,False,4.090611596128878,7.247,-20,0,0,26.408315148866524
49,DT,mlp,mushrooms,high,,26,362.0,DT,True,10.620352117114136,18.239,80,1,1,26.408315148866524
49,DT,mlp,mushrooms,high,,27,84.0,DT,True,10.34176979197605,8.985,80,1,1,26.408315148866524
49,DT,mlp,mushrooms,high,,28,9.0,DT,False,4.109414409669401,11.139,-20,0,1,26.408315148866524
49,DT,mlp,mushrooms,high,,29,337.0,DT,False,8.641085188503435,15.45,60,1,0,26.408315148866524
49,DT,mlp,mushrooms,high,,30,46.0,DT,False,10.668029410719322,10.428,20,1,1,26.408315148866524
49,DT,mlp,mushrooms,high,,31,318.0,DT,False,8.661554060197247,14.378,-60,0,0,26.408315148866524
49,DT,mlp,mushrooms,high,,32,47.0,DT,True,10.656891466666956,12.475,80,0,1,26.408315148866524
49,DT,mlp,mushrooms,high,,33,286.0,DT,False,10.51231062398598,12.583,60,1,1,26.408315148866524
49,DT,mlp,mushrooms,high,,34,89.0,DT,True,8.82859756590618,9.654,-40,0,0,26.408315148866524
49,DT,mlp,mushrooms,high,,35,237.0,DT,False,10.226493745178791,7.856,40,1,1,26.408315148866524
49,DT,mlp,mushrooms,high,,36,66.0,DT,True,3.7525763714731566,11.387,-100,0,1,26.408315148866524
49,DT,mlp,mushrooms,high,,37,173.0,DT,False,10.482822292868375,9.918,40,1,1,26.408315148866524
49,DT,mlp,mushrooms,high,,38,374.0,DT,False,8.726113344122322,7.848,-40,0,0,26.408315148866524
49,DT,mlp,mushrooms,high,,39,7.0,DT,False,10.607913359620866,11.287,-40,0,1,26.408315148866524
200,LR,mlp,mushrooms,high,,0,338.0,LR,False,8.095798539998249,27.606,20,0,0,37.20756816896528
200,LR,mlp,mushrooms,high,,1,341.0,LR,True,6.297900119526409,40.406,-100,1,0,37.20756816896528
200,LR,mlp,mushrooms,high,,2,251.0,LR,False,8.10157719315905,8.929,-20,1,1,37.20756816896528
200,LR,mlp,mushrooms,high,,3,310.0,LR,True,6.055378860782659,13.619,80,1,1,37.20756816896528
200,LR,mlp,mushrooms,high,,4,291.0,LR,True,6.112484359739957,14.878,100,0,1,37.20756816896528
200,LR,mlp,mushrooms,high,,5,323.0,LR,True,5.895259099638597,20.316,40,1,1,37.20756816896528
200,LR,mlp,mushrooms,high,,6,254.0,LR,True,6.0614348895390044,9.839,80,0,1,37.20756816896528
200,LR,mlp,mushrooms,high,,7,300.0,LR,False,8.132915716715901,23.843,-40,1,1,37.20756816896528
