Participant Id,Trial Index,Instance Id,XAIType,Tested w/ XAI,AI prediction,Time,Changed feature index,Changed feature name,Changed feature type,Changed from,Changed to,Changed amount,DT prediction (CF),LR prediction (CF),Changed prediction (DT),Changed prediction (LR),Changed explainer,Changed AI prediction,AI prediction (CF),condition,condition 2,model,dataId,complexity,Model depth,Model changed feature index,Model changed feature name,Model changed amount,Model AI prediction (CF),Model changed AI prediction,Model XAI prediction (CF),Model changed XAI prediction,Model mean_delta for chosen feature,Trial NLL,Trial MAE,retrieval_threshold,over_margin,chi,Best NLL,Best MAE,Best time,"Retrieval threshold, κ","Margin, ε","Opportunity cost, γ",Chi bin,Model strategy
273,130.0,61.0,DT,w/o XAI,0.0,19.593,2.0,Width,numeric,18.0,12.0,-6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,1.0,a1,-2.174399999999999,0.0,0.0,1.0,1.0,-6.370000000000004,0.6613439763623751,0.06860925749775672,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,131.0,12.0,DT,w/o XAI,0.0,64.801,1.0,Height,numeric,3.0,4.7,1.7,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,4.0,a4,4.300408163265307,0.0,0.0,1.0,1.0,-0.5456000000000001,1.5297311963026536,0.3013962445835341,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,132.0,43.0,DT,w/o XAI,1.0,28.129,2.0,Width,numeric,12.0,14.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,,1.0,a1,-3.1843999999999992,1.0,0.0,1.0,0.0,-9.68,1.207399388605341,0.41003220757718833,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Availability Heuristic
273,133.0,112.0,DT,w/o XAI,1.0,21.676,2.0,Width,numeric,13.0,17.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,,1.0,a1,-4.5644,1.0,0.0,1.0,0.0,-10.86,1.207399388605341,0.5128636287203633,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Availability Heuristic
273,134.0,394.0,DT,w/ XAI,1.0,37.476,4.0,Cap Diameter,numeric,2.7,0.97,-1.73,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,,2.0,a2,-3.3999999999999995,1.0,0.0,0.0,1.0,1.2299999999999995,1.1908377634675005,0.2248378811951312,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Availability Heuristic
273,135.0,328.0,DT,w/ XAI,1.0,18.119,2.0,Width,numeric,9.8,14.0,4.2,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,4.0,a4,-5.020000000000001,0.0,1.0,0.0,1.0,3.6299999999999994,0.5813076874024986,0.03821254810323311,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,136.0,154.0,DT,w/o XAI,1.0,19.84,4.0,Cap Diameter,numeric,1.6,0.97,-0.63,0.0,1.0,1.0,0.0,1.0,0.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,,4.0,a4,2.3499999999999996,1.0,0.0,1.0,0.0,2.3499999999999996,1.1908377634675005,0.22597432231611672,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Availability Heuristic
273,137.0,196.0,DT,w/ XAI,1.0,17.135,2.0,Width,numeric,15.0,12.0,-3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,2.0,a2,3.5899999999999994,1.0,0.0,0.0,1.0,3.5899999999999994,0.5813076874024986,0.26974493029981583,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,138.0,319.0,DT,w/ XAI,1.0,20.684,2.0,Width,numeric,13.0,17.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,2.0,a2,1.7300000000000004,1.0,0.0,0.0,1.0,1.7300000000000004,0.5813076874024986,0.01676022420601133,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,139.0,337.0,DT,w/o XAI,1.0,18.631,4.0,Cap Diameter,numeric,13.0,10.0,-3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,,2.0,a2,-13.560000000000002,1.0,0.0,1.0,0.0,-10.77,1.1908377634675005,0.4981519707921494,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Availability Heuristic
273,140.0,129.0,DT,w/o XAI,0.0,28.764,2.0,Width,numeric,2.6,4.5,1.9,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,,2.0,a2,1.83,1.0,1.0,1.0,1.0,1.83,1.207399388605341,0.054381010547128586,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Availability Heuristic
273,141.0,332.0,DT,w/o XAI,0.0,16.826,2.0,Width,numeric,27.0,11.0,-16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,,2.0,a2,-24.490000000000002,1.0,1.0,1.0,1.0,-24.490000000000002,1.207399388605341,0.3068774171851355,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Availability Heuristic
273,142.0,243.0,DT,w/ XAI,0.0,68.996,2.0,Width,numeric,19.0,12.0,-7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,0.0,a0,1.0,0.0,0.0,0.0,0.0,-7.240000000000002,0.5813076874024986,0.06440545726234381,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,143.0,58.0,DT,w/ XAI,0.0,124.802,1.0,Height,numeric,2.0,3.7,1.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,1.0,a1,1.5756000000000001,0.0,0.0,1.0,1.0,1.5756000000000001,1.5603273663948047,0.04303230483538509,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,144.0,150.0,DT,w/ XAI,0.0,19.523,2.0,Width,numeric,32.0,12.0,-20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,2.0,a2,-20.2,1.0,1.0,1.0,1.0,-20.2,0.5813076874024986,0.0631119802668321,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,145.0,202.0,DT,w/ XAI,1.0,19.078,4.0,Cap Diameter,numeric,4.8,0.97,-3.83,0.0,1.0,1.0,0.0,1.0,0.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,4.0,a4,-3.8500000000000005,1.0,0.0,0.0,1.0,-3.8500000000000005,1.5603273663948047,0.0011364411209855486,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,146.0,381.0,DT,w/o XAI,1.0,78.681,4.0,Cap Diameter,numeric,3.4,0.97,-2.43,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,,2.0,a2,2.02,1.0,0.0,1.0,0.0,-1.39,1.1908377634675005,0.0024503430019732265,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Availability Heuristic
273,147.0,195.0,DT,w/o XAI,0.0,45.564,4.0,Cap Diameter,numeric,5.6,5.0,-0.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,,1.0,a1,-1.9243999999999994,0.0,0.0,1.0,1.0,-3.6500000000000004,1.1908377634675005,0.22995186623956618,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Availability Heuristic
273,148.0,294.0,DT,w/o XAI,1.0,20.749,4.0,Cap Diameter,numeric,1.7,0.97,-0.73,0.0,1.0,1.0,0.0,1.0,0.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,,2.0,a2,2.0900000000000003,1.0,0.0,1.0,0.0,2.29,1.1908377634675005,0.2282472045580878,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Availability Heuristic
273,149.0,182.0,DT,w/o XAI,1.0,26.588,2.0,Width,numeric,2.7,14.0,11.3,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,,4.0,a4,2.6799999999999997,1.0,0.0,1.0,0.0,1.8000000000000003,1.207399388605341,0.25055619114473937,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Availability Heuristic
273,150.0,383.0,DT,w/ XAI,1.0,89.658,4.0,Cap Diameter,numeric,1.6,0.97,-0.63,0.0,1.0,1.0,0.0,1.0,0.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,2.0,a2,10.799999999999999,0.0,1.0,0.0,1.0,-0.6699999999999999,1.5603273663948047,0.0022728822419710404,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,151.0,347.0,DT,w/o XAI,1.0,16.267,4.0,Cap Diameter,numeric,2.9,0.97,-1.93,0.0,1.0,1.0,0.0,1.0,0.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,,4.0,a4,1.1099999999999999,1.0,0.0,1.0,0.0,1.1099999999999999,1.1908377634675005,0.22938364567907332,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Availability Heuristic
273,152.0,81.0,DT,w/ XAI,1.0,13.052,2.0,Width,numeric,6.6,14.0,7.4,0.0,1.0,1.0,0.0,1.0,0.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,1.0,a1,-4.1444,1.0,0.0,1.0,0.0,6.829999999999999,0.5813076874024986,0.038212548103233074,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,153.0,336.0,DT,w/o XAI,0.0,20.001,4.0,Cap Diameter,numeric,1.2,3.0,1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,,4.0,a4,2.7299999999999995,1.0,1.0,1.0,1.0,2.7299999999999995,1.1908377634675005,0.10948910741510068,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Availability Heuristic
273,154.0,270.0,DT,w/ XAI,1.0,16.77,4.0,Cap Diameter,numeric,4.4,0.97,-3.43,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,2.0,a2,7.549999999999999,0.0,1.0,0.0,1.0,-3.42,1.5603273663948047,0.0005682205604927743,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,155.0,283.0,DT,w/ XAI,1.0,18.6,4.0,Cap Diameter,numeric,2.5,0.97,-1.53,0.0,1.0,1.0,0.0,1.0,0.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,2.0,a2,10.03,0.0,1.0,0.0,1.0,-1.55,1.5603273663948047,0.0011364411209855234,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,156.0,364.0,DT,w/ XAI,1.0,8.272,2.0,Width,numeric,14.0,11.0,-3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,2.0,a2,2.880000000000001,1.0,0.0,0.0,1.0,2.880000000000001,0.5813076874024986,0.24678571362948432,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,157.0,51.0,DT,w/o XAI,0.0,30.344,4.0,Cap Diameter,numeric,2.6,5.0,2.4,0.0,1.0,0.0,1.0,0.0,1.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,,4.0,a4,1.3599999999999999,1.0,1.0,0.0,0.0,1.3599999999999999,1.1908377634675005,0.0024503430019732516,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Availability Heuristic
273,158.0,218.0,DT,w/o XAI,1.0,10.798,4.0,Cap Diameter,numeric,3.1,0.97,-2.13,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,,4.0,a4,0.8999999999999999,1.0,0.0,1.0,0.0,0.8999999999999999,1.1908377634675005,0.22881542511858058,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Availability Heuristic
273,159.0,262.0,DT,w/o XAI,0.0,38.567,1.0,Height,numeric,9.9,2.9,-7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,,1.0,a1,-6.514399999999999,0.0,0.0,1.0,1.0,-6.514399999999999,1.0458376197849204,0.003508516154157634,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Availability Heuristic
161,280.0,35.0,DT,w/o XAI,0.0,29.901,4.0,Cap Diameter,numeric,4.4,17.0,12.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,low,0.0,1.0,a1,1.3543999999999987,0.0,0.0,1.0,1.0,2.4700000000000006,2.0867474706609777,0.09512414689846996,-1.4835644030152668,0.4804832808806972,0.0121358485963911,1.6961104812658836,0.2770493823069775,10.01042031873503,-1.4835644030152668,0.4804832808806972,0.0121358485963911,3.0,Node Threshold Crossing
161,281.0,379.0,DT,w/ XAI,0.0,26.357,1.0,Height,numeric,4.9,9.7,4.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,low,0.0,1.0,a1,1.6044,0.0,0.0,1.0,1.0,1.6044,1.1215912133228383,0.13080936307967295,-1.4835644030152668,0.4804832808806972,0.0121358485963911,1.6961104812658836,0.2770493823069775,10.01042031873503,-1.4835644030152668,0.4804832808806972,0.0121358485963911,3.0,Node Threshold Crossing
161,282.0,104.0,DT,w/ XAI,1.0,8.626,2.0,Width,numeric,24.0,2.5,-21.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,low,0.0,3.0,a3,0.0,1.0,0.0,0.0,1.0,12.59,1.632212694178478,0.9647527518723079,-1.4835644030152668,0.4804832808806972,0.0121358485963911,1.6961104812658836,0.2770493823069775,10.01042031873503,-1.4835644030152668,0.4804832808806972,0.0121358485963911,3.0,Node Threshold Crossing
161,283.0,334.0,DT,w/o XAI,1.0,5.555,2.0,Width,numeric,15.0,31.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,low,0.0,0.0,a0,0.0,0.0,1.0,0.0,1.0,4.030000000000001,1.6146206142402229,0.02892214561963996,-1.4835644030152668,0.4804832808806972,0.0121358485963911,1.6961104812658836,0.2770493823069775,10.01042031873503,-1.4835644030152668,0.4804832808806972,0.0121358485963911,3.0,Node Threshold Crossing
161,284.0,148.0,DT,w/o XAI,1.0,19.107,0.0,Bruises,categorical,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,low,0.0,2.0,a2,10.020000000000001,0.0,1.0,0.0,1.0,0.0,2.122886865567328,0.5195167191193029,-1.4835644030152668,0.4804832808806972,0.0121358485963911,1.6961104812658836,0.2770493823069775,10.01042031873503,-1.4835644030152668,0.4804832808806972,0.0121358485963911,3.0,Node Threshold Crossing
161,285.0,330.0,DT,w/ XAI,1.0,9.596,4.0,Cap Diameter,numeric,19.0,9.0,-10.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,low,1.0,5.0,a5,0.0,1.0,0.0,0.0,1.0,0.0,2.122886865567328,0.5255358319885444,-1.4835644030152668,0.4804832808806972,0.0121358485963911,1.6961104812658836,0.2770493823069775,10.01042031873503,-1.4835644030152668,0.4804832808806972,0.0121358485963911,3.0,Node Threshold Crossing
161,286.0,245.0,DT,w/o XAI,1.0,13.37,4.0,Cap Diameter,numeric,12.0,3.0,-9.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,low,0.0,2.0,a2,3.44,0.0,1.0,0.0,1.0,0.0,2.122886865567328,0.9034025047162305,-1.4835644030152668,0.4804832808806972,0.0121358485963911,1.6961104812658836,0.2770493823069775,10.01042031873503,-1.4835644030152668,0.4804832808806972,0.0121358485963911,3.0,Node Threshold Crossing
161,287.0,222.0,DT,w/ XAI,0.0,28.791,4.0,Cap Diameter,numeric,15.0,7.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,low,1.0,2.0,a2,-13.280000000000001,0.0,0.0,1.0,1.0,0.0,2.122886865567328,0.6550901197808939,-1.4835644030152668,0.4804832808806972,0.0121358485963911,1.6961104812658836,0.2770493823069775,10.01042031873503,-1.4835644030152668,0.4804832808806972,0.0121358485963911,3.0,Node Threshold Crossing
161,288.0,380.0,DT,w/o XAI,0.0,13.56,2.0,Width,numeric,2.4,13.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,low,0.0,4.0,a4,2.649999999999999,1.0,1.0,1.0,1.0,0.0,2.122886865567328,0.13771187707011398,-1.4835644030152668,0.4804832808806972,0.0121358485963911,1.6961104812658836,0.2770493823069775,10.01042031873503,-1.4835644030152668,0.4804832808806972,0.0121358485963911,3.0,Node Threshold Crossing
161,289.0,39.0,DT,w/o XAI,0.0,9.045,2.0,Width,numeric,2.6,12.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,low,0.0,3.0,a3,0.0,0.0,0.0,0.0,0.0,0.0,2.122886865567328,0.176516186935463,-1.4835644030152668,0.4804832808806972,0.0121358485963911,1.6961104812658836,0.2770493823069775,10.01042031873503,-1.4835644030152668,0.4804832808806972,0.0121358485963911,3.0,Node Threshold Crossing
