counterfactual_accuracy,participantId,trialId,block,trialWithinBlock,withinCondition,xai_type,dataId,instanceId,phase,phaseTrialId,shown_xai_type,tested_w_xai,step,condition_name,explanation_type,selected_strategy,ai_prediction,agent_prediction,cognitive_correct_vs_ai,prob_correct,pred_time
1,1,25,1,15,single_condition,decision_tree,wine_quality,25,testing,15,decision_tree,True,24,decision_tree,dt,dt_traversal,0,0,True,1.0,23.086559089669713
0,1,26,1,16,single_condition,decision_tree,wine_quality,17,testing,16,decision_tree,False,25,decision_tree,none,dt_traversal,0,1,False,0.40625,3.8155360922948156
1,1,27,1,17,single_condition,decision_tree,wine_quality,23,testing,17,decision_tree,True,26,decision_tree,dt,dt_traversal,0,0,True,1.0,23.086559089669713
1,1,28,1,18,single_condition,decision_tree,wine_quality,29,testing,18,decision_tree,True,27,decision_tree,dt,dt_traversal,0,0,True,0.9375,19.504819105182325
1,1,29,1,19,single_condition,decision_tree,wine_quality,16,testing,19,decision_tree,True,28,decision_tree,dt,dt_traversal,0,0,True,0.875,23.086559089669713
1,1,30,1,20,single_condition,decision_tree,wine_quality,27,testing,20,decision_tree,True,29,decision_tree,dt,dt_traversal,1,1,True,1.0,23.086559089669713
1,2,1,1,1,single_condition,logistic_regression,wine_quality,3,training,1,logistic_regression,,0,linear_regression,lr,lr_heuristic,1,1,True,0.7538039590518599,4.69560090967677
1,2,2,1,2,single_condition,logistic_regression,wine_quality,5,training,2,logistic_regression,,1,linear_regression,lr,lr_heuristic,1,1,True,0.9367514988784417,4.636419976552876
0,2,3,1,3,single_condition,logistic_regression,wine_quality,2,training,3,logistic_regression,,2,linear_regression,lr,lr_heuristic,0,1,False,0.438520332146362,3.0902069717518708
0,2,4,1,4,single_condition,logistic_regression,wine_quality,4,training,4,logistic_regression,,3,linear_regression,lr,lr_heuristic,0,1,False,0.4577650313573294,3.2341951277768914
0,2,5,1,5,single_condition,logistic_regression,wine_quality,1,training,5,logistic_regression,,4,linear_regression,lr,lr_heuristic,0,1,False,0.32426433755420514,4.712939360391278
0,2,6,1,6,single_condition,logistic_regression,wine_quality,8,training,6,logistic_regression,,5,linear_regression,lr,lr_heuristic,1,0,False,0.3751442881725262,3.4108065897248374
1,2,7,1,7,single_condition,logistic_regression,wine_quality,7,training,7,logistic_regression,,6,linear_regression,lr,lr_heuristic,1,1,True,0.5271826587128328,3.4286770937802036
1,2,8,1,8,single_condition,logistic_regression,wine_quality,0,training,8,logistic_regression,,7,linear_regression,lr,lr_heuristic,1,1,True,0.6968043972868778,3.482966393794393
0,2,9,1,9,single_condition,logistic_regression,wine_quality,6,training,9,logistic_regression,,8,linear_regression,lr,lr_heuristic,0,1,False,0.18313751333547335,3.3174997077796236
1,2,10,1,10,single_condition,logistic_regression,wine_quality,9,training,10,logistic_regression,,9,linear_regression,lr,lr_heuristic,1,1,True,0.6531451578903703,4.873416987228682
1,2,11,1,1,single_condition,logistic_regression,wine_quality,20,testing,1,logistic_regression,True,10,linear_regression,lr,lr_heuristic,1,1,True,0.7341892015554847,3.3293065495801617
1,2,12,1,2,single_condition,logistic_regression,wine_quality,10,testing,2,logistic_regression,True,11,linear_regression,lr,lr_heuristic,1,1,True,0.8959251691586511,3.351059185565199
1,2,13,1,3,single_condition,logistic_regression,wine_quality,24,testing,3,logistic_regression,False,12,linear_regression,none,lr_heuristic,1,1,True,0.8655859034072326,3.216824064378536
1,2,14,1,4,single_condition,logistic_regression,wine_quality,18,testing,4,logistic_regression,True,13,linear_regression,lr,lr_heuristic,1,1,True,0.9250361382994396,4.714713978325053
1,2,15,1,5,single_condition,logistic_regression,wine_quality,22,testing,5,logistic_regression,False,14,linear_regression,none,lr_calculation,1,1,True,0.6727050621251613,5.763217850761008
1,2,16,1,6,single_condition,logistic_regression,wine_quality,21,testing,6,logistic_regression,True,15,linear_regression,lr,lr_calculation,0,0,True,0.5085269865019568,4.9398603869335425
1,2,17,1,7,single_condition,logistic_regression,wine_quality,26,testing,7,logistic_regression,False,16,linear_regression,none,lr_heuristic,1,1,True,0.9741193450752772,4.662859542748762
1,2,18,1,8,single_condition,logistic_regression,wine_quality,25,testing,8,logistic_regression,True,17,linear_regression,lr,lr_heuristic,0,0,True,0.5992733642299575,3.1757716642576934
0,2,19,1,9,single_condition,logistic_regression,wine_quality,15,testing,9,logistic_regression,False,18,linear_regression,none,lr_calculation,1,0,False,0.5,5.935379872565292
1,2,20,1,10,single_condition,logistic_regression,wine_quality,27,testing,10,logistic_regression,False,19,linear_regression,none,lr_calculation,1,1,True,0.6404821233089841,5.899033920717807
0,2,21,1,11,single_condition,logistic_regression,wine_quality,14,testing,11,logistic_regression,True,20,linear_regression,lr,lr_heuristic,0,1,False,0.26514435443713114,4.822911357603359
1,2,22,1,12,single_condition,logistic_regression,wine_quality,16,testing,12,logistic_regression,False,21,linear_regression,none,lr_heuristic,0,0,True,0.7622895440393814,3.3278719631634686
1,2,23,1,13,single_condition,logistic_regression,wine_quality,28,testing,13,logistic_regression,False,22,linear_regression,none,lr_calculation,1,1,True,0.6590535525820611,5.886009924149986
1,2,24,1,14,single_condition,logistic_regression,wine_quality,13,testing,14,logistic_regression,True,23,linear_regression,lr,lr_calculation,0,0,True,0.5,4.9399999999999995
1,2,25,1,15,single_condition,logistic_regression,wine_quality,23,testing,15,logistic_regression,False,24,linear_regression,none,lr_heuristic,0,0,True,0.8779424923190181,3.352252060982179
0,2,26,1,16,single_condition,logistic_regression,wine_quality,29,testing,16,logistic_regression,True,25,linear_regression,lr,lr_heuristic,0,1,False,0.42162815623385064,3.600053436354069
1,2,27,1,17,single_condition,logistic_regression,wine_quality,19,testing,17,logistic_regression,True,26,linear_regression,lr,lr_calculation,0,0,True,0.5,4.9399999999999995
0,2,28,1,18,single_condition,logistic_regression,wine_quality,17,testing,18,logistic_regression,False,27,linear_regression,none,lr_calculation,0,1,False,0.41800270540038653,5.799126161888337
0,2,29,1,19,single_condition,logistic_regression,wine_quality,11,testing,19,logistic_regression,False,28,linear_regression,none,lr_heuristic,1,0,False,0.478095050814314,3.4961614198910986
1,2,30,1,20,single_condition,logistic_regression,wine_quality,12,testing,20,logistic_regression,True,29,linear_regression,lr,lr_heuristic,1,1,True,0.8188713707546601,4.992583966862696
0,3,1,1,1,single_condition,hybrid,wine_quality,7,training,1,logistic_regression,,0,hybrid,lr,dt_traversal,1,0,False,0.5,10.677461661492682
1,3,2,1,2,single_condition,hybrid,wine_quality,5,training,2,logistic_regression,,1,hybrid,lr,dt_traversal,1,1,True,0.625,13.552183725893588
0,3,3,1,3,single_condition,hybrid,wine_quality,0,training,3,decision_tree,,2,hybrid,dt,dt_traversal,1,0,False,0.25,12.552183725893588
0,3,4,1,4,single_condition,hybrid,wine_quality,2,training,4,decision_tree,,3,hybrid,dt,lr_heuristic,0,1,False,0.3155609704276361,3.0902064904390776
1,3,5,1,5,single_condition,hybrid,wine_quality,4,training,5,logistic_regression,,4,hybrid,lr,dt_traversal,0,0,True,0.5625,7.173413538432925
1,3,6,1,6,single_condition,hybrid,wine_quality,9,training,6,decision_tree,,5,hybrid,dt,dt_traversal,1,1,True,0.9375,23.086559089669713
1,3,7,1,7,single_condition,hybrid,wine_quality,1,training,7,logistic_regression,,6,hybrid,lr,dt_traversal,0,0,True,0.5,9.81712631155184
1,3,8,1,8,single_condition,hybrid,wine_quality,6,training,8,decision_tree,,7,hybrid,dt,dt_traversal,0,0,True,0.9375,15.931322408342053
0,3,9,1,9,single_condition,hybrid,wine_quality,3,training,9,decision_tree,,8,hybrid,dt,dt_traversal,1,0,False,0.25,23.086559089669713
1,3,10,1,10,single_condition,hybrid,wine_quality,8,training,10,logistic_regression,,9,hybrid,lr,dt_traversal,1,1,True,0.75,11.653405018722712
1,3,11,1,1,single_condition,hybrid,wine_quality,19,testing,1,logistic_regression,False,10,hybrid,none,dt_traversal,0,0,True,0.75,10.240632052986014
1,3,12,1,2,single_condition,hybrid,wine_quality,10,testing,2,logistic_regression,False,11,hybrid,none,dt_traversal,1,1,True,0.625,8.97011482868349
0,3,13,1,3,single_condition,hybrid,wine_quality,11,testing,3,decision_tree,False,12,hybrid,none,dt_traversal,1,0,False,0.46875,8.38856315577592
1,3,14,1,4,single_condition,hybrid,wine_quality,24,testing,4,logistic_regression,True,13,hybrid,lr,dt_traversal,1,1,True,0.71875,10.900143535854365
1,3,15,1,5,single_condition,hybrid,wine_quality,18,testing,5,decision_tree,True,14,hybrid,dt,dt_traversal,1,1,True,0.875,12.552183725893588
0,3,16,1,6,single_condition,hybrid,wine_quality,22,testing,6,logistic_regression,False,15,hybrid,none,dt_traversal,1,0,False,0.40625,7.008836121512617
1,3,17,1,7,single_condition,hybrid,wine_quality,15,testing,7,logistic_regression,True,16,hybrid,lr,dt_traversal,1,1,True,0.59375,5.358889476903046
1,3,18,1,8,single_condition,hybrid,wine_quality,23,testing,8,decision_tree,True,17,hybrid,dt,dt_traversal,0,0,True,0.875,15.931322408342053
1,3,19,1,9,single_condition,hybrid,wine_quality,13,testing,9,logistic_regression,False,18,hybrid,none,dt_traversal,0,0,True,0.625,7.430086121512619
1,3,20,1,10,single_condition,hybrid,wine_quality,21,testing,10,decision_tree,True,19,hybrid,dt,dt_traversal,0,0,True,1.0,23.086559089669713
1,3,21,1,11,single_condition,hybrid,wine_quality,14,testing,11,decision_tree,True,20,hybrid,dt,dt_traversal,0,0,True,1.0,23.086559089669713
1,3,22,1,12,single_condition,hybrid,wine_quality,12,testing,12,logistic_regression,False,21,hybrid,none,dt_traversal,1,1,True,0.53125,5.471063155775921
1,3,23,1,13,single_condition,hybrid,wine_quality,17,testing,13,decision_tree,True,22,hybrid,dt,dt_traversal,0,0,True,1.0,23.086559089669713
1,3,24,1,14,single_condition,hybrid,wine_quality,27,testing,14,decision_tree,True,23,hybrid,dt,dt_traversal,1,1,True,0.6875,12.552183725893588
1,3,25,1,15,single_condition,hybrid,wine_quality,26,testing,15,logistic_regression,False,24,hybrid,none,dt_traversal,1,1,True,0.53125,5.894568897210095
1,3,26,1,16,single_condition,hybrid,wine_quality,25,testing,16,decision_tree,False,25,hybrid,none,dt_traversal,0,0,True,0.5,5.4213894769030455
1,3,27,1,17,single_condition,hybrid,wine_quality,29,testing,17,decision_tree,True,26,hybrid,dt,dt_traversal,0,0,True,0.875,15.931322408342053
1,3,28,1,18,single_condition,hybrid,wine_quality,20,testing,18,logistic_regression,False,27,hybrid,none,dt_traversal,1,1,True,0.5625,6.2157614828683485
1,3,29,1,19,single_condition,hybrid,wine_quality,28,testing,19,logistic_regression,True,28,hybrid,lr,dt_traversal,1,1,True,0.59375,5.502877446138108
0,3,30,1,20,single_condition,hybrid,wine_quality,16,testing,20,decision_tree,False,29,hybrid,none,dt_traversal,0,1,False,0.4375,5.755060153824692
1,4,1,1,1,single_condition,decision_tree,wine_quality,7,training,1,decision_tree,,0,decision_tree,dt,dt_traversal,1,1,True,0.8125,15.931322408342053
1,4,2,1,2,single_condition,decision_tree,wine_quality,8,training,2,decision_tree,,1,decision_tree,dt,dt_traversal,1,1,True,0.75,15.931322408342053
0,4,3,1,3,single_condition,decision_tree,wine_quality,3,training,3,decision_tree,,2,decision_tree,dt,dt_traversal,1,0,False,0.1875,12.552183725893588
0,4,4,1,4,single_condition,decision_tree,wine_quality,0,training,4,decision_tree,,3,decision_tree,dt,dt_traversal,1,0,False,0.25,15.931322408342053
1,4,5,1,5,single_condition,decision_tree,wine_quality,2,training,5,decision_tree,,4,decision_tree,dt,dt_traversal,0,0,True,0.9375,15.931322408342053
0,4,6,1,6,single_condition,decision_tree,wine_quality,9,training,6,decision_tree,,5,decision_tree,dt,dt_traversal,1,0,False,0.5,12.552183725893588
1,4,7,1,7,single_condition,decision_tree,wine_quality,1,training,7,decision_tree,,6,decision_tree,dt,dt_traversal,0,0,True,0.9375,23.086559089669713
1,4,8,1,8,single_condition,decision_tree,wine_quality,4,training,8,decision_tree,,7,decision_tree,dt,dt_traversal,0,0,True,0.875,12.552183725893588
1,4,9,1,9,single_condition,decision_tree,wine_quality,5,training,9,decision_tree,,8,decision_tree,dt,dt_traversal,1,1,True,1.0,23.086559089669713
1,4,10,1,10,single_condition,decision_tree,wine_quality,6,training,10,decision_tree,,9,decision_tree,dt,dt_traversal,0,0,True,1.0,23.086559089669713
1,4,11,1,1,single_condition,decision_tree,wine_quality,23,testing,1,decision_tree,True,10,decision_tree,dt,dt_traversal,0,0,True,1.0,23.086559089669713
1,4,12,1,2,single_condition,decision_tree,wine_quality,25,testing,2,decision_tree,True,11,decision_tree,dt,dt_traversal,0,0,True,0.9375,23.086559089669713
1,4,13,1,3,single_condition,decision_tree,wine_quality,15,testing,3,decision_tree,True,12,decision_tree,dt,dt_traversal,1,1,True,0.9375,23.086559089669713
0,4,14,1,4,single_condition,decision_tree,wine_quality,11,testing,4,decision_tree,False,13,decision_tree,none,dt_traversal,1,0,False,0.46875,2.709022965736698
1,4,15,1,5,single_condition,decision_tree,wine_quality,21,testing,5,decision_tree,True,14,decision_tree,dt,dt_traversal,0,0,True,0.8125,15.931322408342053
0,4,16,1,6,single_condition,decision_tree,wine_quality,26,testing,6,decision_tree,False,15,decision_tree,none,dt_traversal,1,0,False,0.4375,3.7145401900392216
1,4,17,1,7,single_condition,decision_tree,wine_quality,19,testing,7,decision_tree,True,16,decision_tree,dt,dt_traversal,0,0,True,1.0,12.552183725893588
0,4,18,1,8,single_condition,decision_tree,wine_quality,22,testing,8,decision_tree,True,17,decision_tree,dt,dt_traversal,1,0,False,0.1875,23.086559089669713
1,4,19,1,9,single_condition,decision_tree,wine_quality,28,testing,9,decision_tree,False,18,decision_tree,none,dt_traversal,1,1,True,0.53125,5.016307414341746
1,4,20,1,10,single_condition,decision_tree,wine_quality,24,testing,10,decision_tree,True,19,decision_tree,dt,dt_traversal,1,1,True,0.6875,15.931322408342053
0,4,21,1,11,single_condition,decision_tree,wine_quality,10,testing,11,decision_tree,False,20,decision_tree,none,dt_traversal,1,0,False,0.40625,9.69212631155184
1,4,22,1,12,single_condition,decision_tree,wine_quality,17,testing,12,decision_tree,False,21,decision_tree,none,dt_traversal,0,0,True,0.5625,7.762097604380967
0,4,23,1,13,single_condition,decision_tree,wine_quality,12,testing,13,decision_tree,False,22,decision_tree,none,dt_traversal,1,0,False,0.46875,6.203651507667986
1,4,24,1,14,single_condition,decision_tree,wine_quality,16,testing,14,decision_tree,False,23,decision_tree,none,dt_traversal,0,0,True,0.5625,8.669353345815143
1,4,25,1,15,single_condition,decision_tree,wine_quality,14,testing,15,decision_tree,False,24,decision_tree,none,dt_traversal,0,0,True,0.65625,5.661310153824693
1,4,26,1,16,single_condition,decision_tree,wine_quality,29,testing,16,decision_tree,True,25,decision_tree,dt,dt_traversal,0,0,True,0.875,15.931322408342053
1,4,27,1,17,single_condition,decision_tree,wine_quality,20,testing,17,decision_tree,True,26,decision_tree,dt,dt_traversal,1,1,True,0.9375,28.003279544834864
1,4,28,1,18,single_condition,decision_tree,wine_quality,18,testing,18,decision_tree,False,27,decision_tree,none,dt_traversal,1,1,True,0.53125,5.327639476903046
1,4,29,1,19,single_condition,decision_tree,wine_quality,27,testing,19,decision_tree,False,28,decision_tree,none,dt_traversal,1,1,True,0.59375,4.993968799981401
1,4,30,1,20,single_condition,decision_tree,wine_quality,13,testing,20,decision_tree,True,29,decision_tree,dt,dt_traversal,0,0,True,0.875,19.504819105182325
1,5,1,1,1,single_condition,logistic_regression,wine_quality,9,training,1,logistic_regression,,0,linear_regression,lr,lr_heuristic,1,1,True,0.7317078167430505,4.675197116507526
0,5,2,1,2,single_condition,logistic_regression,wine_quality,6,training,2,logistic_regression,,1,linear_regression,lr,lr_heuristic,0,1,False,0.19014810718579223,4.6445417397572335
1,5,3,1,3,single_condition,logistic_regression,wine_quality,7,training,3,logistic_regression,,2,linear_regression,lr,lr_heuristic,1,1,True,0.6885827397292078,3.340743975504825
1,5,4,1,4,single_condition,logistic_regression,wine_quality,3,training,4,logistic_regression,,3,linear_regression,lr,lr_heuristic,1,1,True,0.6188248246795329,3.2517366771154608
0,5,5,1,5,single_condition,logistic_regression,wine_quality,0,training,5,logistic_regression,,4,linear_regression,lr,lr_heuristic,1,0,False,0.4456444525564889,3.274379312003761
0,5,6,1,6,single_condition,logistic_regression,wine_quality,2,training,6,logistic_regression,,5,linear_regression,lr,lr_heuristic,0,1,False,0.19260151704746764,3.090207521576115
0,5,7,1,7,single_condition,logistic_regression,wine_quality,4,training,7,logistic_regression,,6,linear_regression,lr,lr_heuristic,0,1,False,0.47182184778991987,3.199073328270107
0,5,8,1,8,single_condition,logistic_regression,wine_quality,8,training,8,logistic_regression,,7,linear_regression,lr,lr_heuristic,1,0,False,0.34124847611000086,3.3283244005272543
1,5,9,1,9,single_condition,logistic_regression,wine_quality,5,training,9,logistic_regression,,8,linear_regression,lr,lr_heuristic,1,1,True,0.8663858110226714,3.263509844301428
0,5,10,1,10,single_condition,logistic_regression,wine_quality,1,training,10,logistic_regression,,9,linear_regression,lr,lr_heuristic,0,1,False,0.35110344294276263,3.191138530887222
1,5,11,1,1,single_condition,logistic_regression,wine_quality,10,testing,1,logistic_regression,False,10,linear_regression,none,lr_heuristic,1,1,True,0.7179894970986106,3.3382177269614464
1,5,12,1,2,single_condition,logistic_regression,wine_quality,11,testing,2,logistic_regression,True,11,linear_regression,lr,lr_heuristic,1,1,True,0.8192675085632712,3.1978985996298346
0,5,13,1,3,single_condition,logistic_regression,wine_quality,17,testing,3,logistic_regression,True,12,linear_regression,lr,lr_heuristic,0,1,False,0.16175456408788758,4.7607111168963785
1,5,14,1,4,single_condition,logistic_regression,wine_quality,21,testing,4,logistic_regression,False,13,linear_regression,none,lr_calculation,0,0,True,0.5159919455175338,5.831079218344965
1,5,15,1,5,single_condition,logistic_regression,wine_quality,12,testing,5,logistic_regression,False,14,linear_regression,none,lr_calculation,1,1,True,0.6229021609172386,5.8336960980614725
1,5,16,1,6,single_condition,logistic_regression,wine_quality,26,testing,6,logistic_regression,True,15,linear_regression,lr,lr_heuristic,1,1,True,0.9141307273311694,3.2540822201721085
1,5,17,1,7,single_condition,logistic_regression,wine_quality,22,testing,7,logistic_regression,False,16,linear_regression,none,lr_heuristic,1,1,True,0.8346072509926179,3.4059590577344925
1,5,18,1,8,single_condition,logistic_regression,wine_quality,29,testing,8,logistic_regression,True,17,linear_regression,lr,lr_calculation,0,0,True,0.7010774010158042,6.858705005657374
1,5,19,1,9,single_condition,logistic_regression,wine_quality,20,testing,9,logistic_regression,False,18,linear_regression,none,lr_calculation,1,1,True,0.603017255083485,5.8939794786215245
1,5,20,1,10,single_condition,logistic_regression,wine_quality,24,testing,10,logistic_regression,True,19,linear_regression,lr,lr_heuristic,1,1,True,0.8266273444794596,3.32161357396426
0,5,21,1,11,single_condition,logistic_regression,wine_quality,13,testing,11,logistic_regression,True,20,linear_regression,lr,lr_heuristic,0,1,False,0.3457002220116615,3.479642814021524
1,5,22,1,12,single_condition,logistic_regression,wine_quality,16,testing,12,logistic_regression,False,21,linear_regression,none,lr_calculation,0,0,True,0.571610746538803,5.880373213512069
1,5,23,1,13,single_condition,logistic_regression,wine_quality,19,testing,13,logistic_regression,True,22,linear_regression,lr,lr_calculation,0,0,True,0.5,4.9399999999999995
1,5,24,1,14,single_condition,logistic_regression,wine_quality,23,testing,14,logistic_regression,False,23,linear_regression,none,lr_heuristic,0,0,True,0.7990559133867949,3.2426545783967917
1,5,25,1,15,single_condition,logistic_regression,wine_quality,28,testing,15,logistic_regression,True,24,linear_regression,lr,lr_heuristic,1,1,True,0.80969728999318,3.4590595972868896
1,5,26,1,16,single_condition,logistic_regression,wine_quality,18,testing,16,logistic_regression,False,25,linear_regression,none,lr_calculation,1,1,True,0.6357690325065988,5.820305946211727
0,5,27,1,17,single_condition,logistic_regression,wine_quality,15,testing,17,logistic_regression,True,26,linear_regression,lr,lr_calculation,1,0,False,0.5,4.9399999999999995
1,5,28,1,18,single_condition,logistic_regression,wine_quality,27,testing,18,logistic_regression,False,27,linear_regression,none,lr_heuristic,1,1,True,0.8224357010214818,3.39510176623386
1,5,29,1,19,single_condition,logistic_regression,wine_quality,25,testing,19,logistic_regression,False,28,linear_regression,none,lr_heuristic,0,0,True,0.6129211996368398,3.350694659818483
1,5,30,1,20,single_condition,logistic_regression,wine_quality,14,testing,20,logistic_regression,True,29,linear_regression,lr,lr_calculation,0,0,True,0.7429971593323715,6.818440971665233
1,6,1,1,1,single_condition,hybrid,wine_quality,8,training,1,logistic_regression,,0,hybrid,lr,dt_traversal,1,1,True,0.625,10.677461661492682
0,6,2,1,2,single_condition,hybrid,wine_quality,0,training,2,decision_tree,,1,hybrid,dt,dt_traversal,1,0,False,0.3125,15.931322408342053
0,6,3,1,3,single_condition,hybrid,wine_quality,3,training,3,logistic_regression,,2,hybrid,lr,dt_traversal,1,0,False,0.375,11.198649277288538
0,6,4,1,4,single_condition,hybrid,wine_quality,2,training,4,decision_tree,,3,hybrid,dt,lr_heuristic,0,1,False,0.19260162610625176,3.0902069722794767
1,6,5,1,5,single_condition,hybrid,wine_quality,7,training,5,decision_tree,,4,hybrid,dt,dt_traversal,1,1,True,0.875,15.931322408342053
1,6,6,1,6,single_condition,hybrid,wine_quality,5,training,6,logistic_regression,,5,hybrid,lr,dt_traversal,1,1,True,0.59375,10.837643535854365
1,6,7,1,7,single_condition,hybrid,wine_quality,9,training,7,logistic_regression,,6,hybrid,lr,dt_traversal,1,1,True,0.625,9.268620570117665
1,6,8,1,8,single_condition,hybrid,wine_quality,4,training,8,decision_tree,,7,hybrid,dt,dt_traversal,0,0,True,0.5625,15.931322408342053
1,6,9,1,9,single_condition,hybrid,wine_quality,1,training,9,logistic_regression,,8,hybrid,lr,dt_traversal,0,0,True,0.59375,10.115632052986015
1,6,10,1,10,single_condition,hybrid,wine_quality,6,training,10,decision_tree,,9,hybrid,dt,dt_traversal,0,0,True,0.8125,12.552183725893588
1,6,11,1,1,single_condition,hybrid,wine_quality,14,testing,1,logistic_regression,False,10,hybrid,none,dt_traversal,0,0,True,0.625,11.386149277288538
1,6,12,1,2,single_condition,hybrid,wine_quality,24,testing,2,decision_tree,False,11,hybrid,none,lr_calculation,1,1,True,0.6920019184429631,5.793018952306041
1,6,13,1,3,single_condition,hybrid,wine_quality,10,testing,3,logistic_regression,True,12,hybrid,lr,lr_calculation,1,1,True,0.6489841746708832,4.896324323013801
1,6,14,1,4,single_condition,hybrid,wine_quality,11,testing,4,decision_tree,False,13,hybrid,none,lr_calculation,1,1,True,0.5742729748326212,5.847191487678864
1,6,15,1,5,single_condition,hybrid,wine_quality,15,testing,5,logistic_regression,False,14,hybrid,none,lr_calculation,1,1,True,0.5582635639818999,5.852083791101197
1,6,16,1,6,single_condition,hybrid,wine_quality,21,testing,6,logistic_regression,True,15,hybrid,lr,lr_calculation,0,0,True,0.7457354510087214,6.815466459273007
1,6,17,1,7,single_condition,hybrid,wine_quality,16,testing,7,decision_tree,True,16,hybrid,dt,lr_heuristic,0,0,True,0.6838781853516431,3.444709134029716
1,6,18,1,8,single_condition,hybrid,wine_quality,22,testing,8,decision_tree,True,17,hybrid,dt,lr_heuristic,1,1,True,0.8065371565140914,3.3808039058300383
1,6,19,1,9,single_condition,hybrid,wine_quality,23,testing,9,decision_tree,False,18,hybrid,none,lr_calculation,0,0,True,0.5434956453906491,5.934128297245045
0,6,20,1,10,single_condition,hybrid,wine_quality,19,testing,10,decision_tree,False,19,hybrid,none,lr_calculation,0,1,False,0.4870997389046342,5.93463200541354
1,6,21,1,11,single_condition,hybrid,wine_quality,28,testing,11,decision_tree,False,20,hybrid,none,lr_calculation,1,1,True,0.6681324953829701,5.862566134561652
