forward_accuracy,participantId,trialId,block,trialWithinBlock,withinCondition,xai_method,xai_type,dataId,instanceId,phase,phaseTrialId,ai_prediction,tested_w_xai,step,cognitive_model_strategy,feature_values,explanation,response,agent_prediction,pred_time,cognitive_correct_vs_ai,feedback_time
0,3,2,1,2,single_condition,lime,importance,wine_quality,1489,training,2,0,,infer_no_explanation,ImportanceCategorization,"[0.4848484992980957, 0.6304348111152649, 0.0, 0.5263158082962036, 0.7450980544090271]",,{1: 1.0},1,5.0,False,
0,3,2,1,2,single_condition,lime,importance,wine_quality,1489,training,2,0,,infer_with_explanation,ImportanceCategorization,"[0.4848484992980957, 0.6304348111152649, 0.0, 0.5263158082962036, 0.7450980544090271]","[0.3725568834857083, 1.0, 0.7362981055270564, 0.09532708383350486, 0.2849744157221542]",{1: 1.0},1,5.0,False,5.0
0,3,3,1,3,single_condition,lime,importance,wine_quality,336,training,3,1,,infer_no_explanation,ImportanceCategorization,"[1.0, 0.5, 0.04945598542690277, 0.28070175647735596, 0.5686274766921997]",,"{0: 0.5, 1: 0.5}",0,5.0,False,
1,3,3,1,3,single_condition,lime,importance,wine_quality,336,training,3,1,,infer_with_explanation,ImportanceCategorization,"[1.0, 0.5, 0.04945598542690277, 0.28070175647735596, 0.5686274766921997]","[1.0, 0.15696355465100006, 0.2661186840379724, 0.21017446766418865, 0.04933298159032877]","{1: 0.9855960326431779, 0: 0.014403967356822056}",1,5.0,True,5.0
1,3,4,1,4,single_condition,lime,importance,wine_quality,2,training,4,0,,infer_no_explanation,ImportanceCategorization,"[0.1818181872367859, 0.3913043439388275, 0.42532145977020264, 0.859649121761322, 0.3921568691730499]",,"{0: 0.5, 1: 0.5}",0,5.0,True,
0,3,4,1,4,single_condition,lime,importance,wine_quality,2,training,4,0,,infer_with_explanation,ImportanceCategorization,"[0.1818181872367859, 0.3913043439388275, 0.42532145977020264, 0.859649121761322, 0.3921568691730499]","[0.9204106301522433, 0.05885216522338769, 0.16186782299216387, 1.0, 0.1555104104212376]","{1: 0.9847917290510768, 0: 0.015208270948923209}",1,5.0,False,5.0
1,3,5,1,1,single_condition,lime,importance,wine_quality,1405,testing,1,1,True,infer_with_explanation,ImportanceCategorization,"[0.6363636255264282, 0.9347826242446899, 0.22749753296375275, 0.017543859779834747, 0.4313725531101227]","[1.0, 0.3433103194243262, 0.10449421618022821, 0.3742599118692422, 0.08377280090609851]","{1: 0.6206820559554737, 0: 0.3793179440445264}",1,5.0,True,
0,3,6,1,2,single_condition,lime,importance,wine_quality,1018,testing,2,0,True,infer_with_explanation,ImportanceCategorization,"[1.0606060028076172, -0.06521739065647125, 0.9693372845649719, -0.15789473056793213, -0.3333333432674408]","[1.0, 0.27660016204863375, 0.27575794040677176, 0.378393179831012, 0.09287285974103689]","{1: 0.6327538076272963, 0: 0.36724619237270373}",1,5.0,False,
1,3,7,1,3,single_condition,lime,importance,wine_quality,439,testing,3,0,False,infer_no_explanation,ImportanceCategorization,"[0.03030303120613098, 0.28260868787765503, 0.3857566714286804, 0.6140350699424744, 0.03921568766236305]",,"{0: 0.5, 1: 0.5}",0,5.0,True,
0,3,8,1,4,single_condition,lime,importance,wine_quality,928,testing,4,1,False,infer_no_explanation,ImportanceCategorization,"[0.6060606241226196, 0.717391312122345, 0.16815035045146942, 0.35087719559669495, 0.23529411852359772]",,"{0: 0.5, 1: 0.5}",0,5.0,False,
0,3,9,1,5,single_condition,lime,importance,wine_quality,1172,testing,5,1,False,infer_no_explanation,ImportanceCategorization,"[0.939393937587738, 0.5869565010070801, 0.04945598542690277, 0.2631579041481018, 0.4117647111415863]",,"{0: 0.5, 1: 0.5}",0,5.0,False,
1,3,10,1,6,single_condition,lime,importance,wine_quality,1170,testing,6,0,True,infer_with_explanation,ImportanceCategorization,"[0.39393940567970276, 0.43478259444236755, 0.009891197085380554, 0.15789473056793213, 0.27450981736183167]","[0.20684612606316588, 0.533653901197411, 0.8597215963627778, 1.0, 0.4984399582920289]","{1: 0.039278376740758764, 0: 0.9607216232592413}",0,5.0,True,
1,4,1,1,1,single_condition,shap,none,wine_quality,847,training,1,0,,infer_no_explanation,SensitiveFeatures,"[0.21212121844291687, 0.5, 0.2769535183906555, 0.719298243522644, 0.8627451062202454]",,"{0: 0.5, 1: 0.5}",0,0.1,True,5.0
1,4,2,1,2,single_condition,shap,none,wine_quality,1497,training,2,0,,infer_no_explanation,SensitiveFeatures,"[0.6969696879386902, 0.3478260934352875, 0.04945598542690277, 0.8245614171028137, 0.7647058963775635]",,{0: 1.0},0,0.09999999999999964,True,5.0
0,4,3,1,3,single_condition,shap,none,wine_quality,867,training,3,1,,infer_no_explanation,SensitiveFeatures,"[0.6060606241226196, 0.804347813129425, 0.1088031679391861, 0.42105263471603394, 0.6666666865348816]",,{0: 1.0},0,0.09999999999999964,False,5.0
0,4,4,1,4,single_condition,shap,none,wine_quality,1066,training,4,1,,infer_no_explanation,SensitiveFeatures,"[1.0, 0.54347825050354, 0.1483679562807083, 0.4385964870452881, 0.6666666865348816]",,"{0: 0.537456073808367, 1: 0.46254392619163304}",0,0.09999999999999964,False,5.0
1,4,5,1,1,single_condition,shap,none,wine_quality,1371,testing,1,1,True,infer_no_explanation,SensitiveFeatures,"[0.7272727489471436, 1.2173912525177002, 0.029673591256141663, 0.5438596606254578, 0.29411765933036804]",,"{0: 0.3559978424402256, 1: 0.6440021575597744}",1,0.10000000000000142,True,
1,4,6,1,2,single_condition,shap,none,wine_quality,1172,testing,2,1,False,infer_no_explanation,SensitiveFeatures,"[0.939393937587738, 0.5869565010070801, 0.04945598542690277, 0.2631579041481018, 0.4117647111415863]",,"{0: 0.3662492816883933, 1: 0.6337507183116066}",1,0.10000000000000142,True,
1,4,7,1,3,single_condition,shap,none,wine_quality,1136,testing,3,1,True,infer_no_explanation,SensitiveFeatures,"[0.6666666865348816, 0.6304348111152649, 0.01978239417076111, 0.4385964870452881, 0.3137255012989044]",,"{0: 0.37959398724076354, 1: 0.6204060127592365}",1,0.10000000000000142,True,
0,4,8,1,4,single_condition,shap,none,wine_quality,735,testing,4,0,True,infer_no_explanation,SensitiveFeatures,"[0.09090909361839294, 0.06521739065647125, 0.1088031679391861, 1.219298243522644, 0.3921568691730499]",,"{0: 0.42430928612818997, 1: 0.57569071387181}",1,0.10000000000000142,False,
0,4,9,1,5,single_condition,shap,none,wine_quality,1173,testing,5,0,False,infer_no_explanation,SensitiveFeatures,"[0.09090909361839294, 0.32608696818351746, 0.5341246128082275, 0.15789473056793213, 0.7843137383460999]",,"{0: 0.39258928918188446, 1: 0.6074107108181156}",1,0.10000000000000142,False,
0,4,10,1,6,single_condition,shap,none,wine_quality,1102,testing,6,0,False,infer_no_explanation,SensitiveFeatures,"[0.6060606241226196, 0.15217390656471252, 0.18793274462223053, 0.3684210479259491, 0.7647058963775635]",,"{0: 0.395978964507414, 1: 0.604021035492586}",1,0.10000000000000142,False,
1,5,1,1,1,single_condition,shap,attribution,wine_quality,1198,training,1,0,,infer_no_explanation,AttributionSum,"[0.5151515007019043, 0.695652186870575, 0.6528189778327942, -0.017543859779834747, 0.1764705926179886]",,"{0: 0.5, 1: 0.5}",0,5.0,True,
1,5,1,1,1,single_condition,shap,attribution,wine_quality,1198,training,1,0,,infer_with_explanation,AttributionSum,"[0.5151515007019043, 0.695652186870575, 0.6528189778327942, -0.017543859779834747, 0.1764705926179886]","[0.43174405335439103, 0.14948221289359123, -1.0, 0.47981523525618264, 0.3757588955460651]","{0: 0.6271909694747834, 1: 0.37280903052521663}",0,5.0,True,5.0
0,5,2,1,2,single_condition,shap,attribution,wine_quality,887,training,2,1,,infer_no_explanation,AttributionSum,"[0.8787878751754761, 0.695652186870575, 0.44510385394096375, 0.4385964870452881, 0.1764705926179886]",,"{0: 0.5, 1: 0.5}",0,5.0,False,
1,5,2,1,2,single_condition,shap,attribution,wine_quality,887,training,2,1,,infer_with_explanation,AttributionSum,"[0.8787878751754761, 0.695652186870575, 0.44510385394096375, 0.4385964870452881, 0.1764705926179886]","[1.0, 0.5125594504098707, -0.13612986271326108, 0.12503180826007512, 0.10876955799197412]","{0: 0.18055979244583997, 1: 0.81944020755416}",1,5.0,True,5.0
0,5,3,1,3,single_condition,shap,attribution,wine_quality,948,training,3,1,,infer_no_explanation,AttributionSum,"[0.8181818127632141, 0.6304348111152649, 0.09891197085380554, -0.2631579041481018, 0.686274528503418]",,"{0: 0.5, 1: 0.5}",0,5.0,False,
1,5,3,1,3,single_condition,shap,attribution,wine_quality,948,training,3,1,,infer_with_explanation,AttributionSum,"[0.8181818127632141, 0.6304348111152649, 0.09891197085380554, -0.2631579041481018, 0.686274528503418]","[1.0, 0.3678917687490011, 0.24074425577874728, 0.19805990240684088, -0.0605045145592956]","{0: 0.20296067646234672, 1: 0.7970393235376533}",1,5.0,True,5.0
1,5,4,1,4,single_condition,shap,attribution,wine_quality,822,training,4,0,,infer_no_explanation,AttributionSum,"[0.1818181872367859, 0.3695652186870575, 0.24727992713451385, 0.4736842215061188, 1.0784313678741455]",,"{0: 0.5, 1: 0.5}",0,5.0,True,
1,5,4,1,4,single_condition,shap,attribution,wine_quality,822,training,4,0,,infer_with_explanation,AttributionSum,"[0.1818181872367859, 0.3695652186870575, 0.24727992713451385, 0.4736842215061188, 1.0784313678741455]","[-1.0, -0.1302600466822657, 0.06929916650637138, -0.03548513059722735, -0.859960446407346]","{0: 0.8652923376881783, 1: 0.13470766231182174}",0,5.0,True,5.0
0,5,5,1,1,single_condition,shap,attribution,wine_quality,588,testing,1,1,False,infer_no_explanation,AttributionSum,"[1.454545497894287, 0.5869565010070801, 0.3857566714286804, 0.2631579041481018, 1.2941176891326904]",,"{0: 0.5, 1: 0.5}",0,5.0,False,
1,5,6,1,2,single_condition,shap,attribution,wine_quality,1371,testing,2,1,True,infer_with_explanation,AttributionSum,"[0.7272727489471436, 1.2173912525177002, 0.029673591256141663, 0.5438596606254578, 0.29411765933036804]","[0.9883043262969465, 1.0, 0.7582291945585017, -0.07613573687168808, -0.16586757168520946]","{0: 0.1204363720675542, 1: 0.8795636279324458}",1,5.0,True,
1,5,7,1,3,single_condition,shap,attribution,wine_quality,528,testing,3,0,False,infer_no_explanation,AttributionSum,"[-0.1515151560306549, 0.6086956262588501, 0.4352126717567444, 0.2631579041481018, 0.5490196347236633]",,"{0: 0.5, 1: 0.5}",0,5.0,True,
1,5,8,1,4,single_condition,shap,attribution,wine_quality,672,testing,4,0,True,infer_with_explanation,AttributionSum,"[0.09090909361839294, 0.1304347813129425, 1.3847675323486328, 1.7017543315887451, 0.1764705926179886]","[-0.758149905212024, -0.3893346992278948, -0.9575205599259828, -1.0, 0.11438401197441987]","{0: 0.8762643695420507, 1: 0.12373563045794933}",0,5.0,True,
1,5,9,1,5,single_condition,shap,attribution,wine_quality,735,testing,5,0,False,infer_no_explanation,AttributionSum,"[0.09090909361839294, 0.06521739065647125, 0.1088031679391861, 1.219298243522644, 0.3921568691730499]",,"{0: 0.5, 1: 0.5}",0,5.0,True,
1,5,10,1,6,single_condition,shap,attribution,wine_quality,1070,testing,6,1,True,infer_with_explanation,AttributionSum,"[0.5757575631141663, 0.9130434989929199, 0.2571711242198944, 0.10526315867900848, 0.23529411852359772]","[0.7438117641423149, 1.0, 0.24398698082435066, 0.36941152491802065, 0.204408533878056]","{0: 0.1488294165756222, 1: 0.8511705834243778}",1,5.0,True,
1,6,1,1,1,single_condition,shap,importance,wine_quality,1027,training,1,0,,infer_no_explanation,ImportanceCategorization,"[0.7272727489471436, 0.10869564861059189, 0.40553906559944153, 0.9210526347160339, 0.843137264251709]",,"{0: 0.5, 1: 0.5}",0,5.0,True,
1,6,1,1,1,single_condition,shap,importance,wine_quality,1027,training,1,0,,infer_with_explanation,ImportanceCategorization,"[0.7272727489471436, 0.10869564861059189, 0.40553906559944153, 0.9210526347160339, 0.843137264251709]","[0.9379364725593968, 0.991352473886214, 0.023523716266105252, 1.0, 0.048399892966145525]","{0: 0.5, 1: 0.5}",0,5.0,True,5.0
0,6,2,1,2,single_condition,shap,importance,wine_quality,866,training,2,1,,infer_no_explanation,ImportanceCategorization,"[0.6363636255264282, 0.782608687877655, 0.1285855621099472, 0.38596490025520325, 0.686274528503418]",,{0: 1.0},0,5.0,False,
0,6,2,1,2,single_condition,shap,importance,wine_quality,866,training,2,1,,infer_with_explanation,ImportanceCategorization,"[0.6363636255264282, 0.782608687877655, 0.1285855621099472, 0.38596490025520325, 0.686274528503418]","[0.8868544536506527, 1.0, 0.3603547147742774, 0.08494458975105676, 0.22919188066861412]",{0: 1.0},0,5.0,False,5.0
0,6,3,1,3,single_condition,shap,importance,wine_quality,898,training,3,1,,infer_no_explanation,ImportanceCategorization,"[1.0, 0.6521739363670349, 0.31651830673217773, 0.07017543911933899, 0.4901960790157318]",,"{0: 0.5, 1: 0.5}",0,5.0,False,
1,6,3,1,3,single_condition,shap,importance,wine_quality,898,training,3,1,,infer_with_explanation,ImportanceCategorization,"[1.0, 0.6521739363670349, 0.31651830673217773, 0.07017543911933899, 0.4901960790157318]","[1.0, 0.3783547715245065, 0.01368360403607543, 0.21341804584435292, 0.03963732246489922]","{0: 0.19255985245336088, 1: 0.8074401475466391}",1,5.0,True,5.0
1,6,4,1,4,single_condition,shap,importance,wine_quality,547,training,4,0,,infer_no_explanation,ImportanceCategorization,"[0.4545454680919647, 0.8478260636329651, 0.09891197085380554, 0.07017543911933899, 0.3921568691730499]",,"{0: 0.5, 1: 0.5}",0,5.0,True,
0,6,4,1,4,single_condition,shap,importance,wine_quality,547,training,4,0,,infer_with_explanation,ImportanceCategorization,"[0.4545454680919647, 0.8478260636329651, 0.09891197085380554, 0.07017543911933899, 0.3921568691730499]","[0.2999967293911812, 1.0, 0.3330625315754281, 0.12723964276624136, 0.1152662237573682]","{0: 0.05877526709860269, 1: 0.9412247329013973}",1,5.0,False,5.0
0,6,5,1,1,single_condition,shap,importance,wine_quality,940,testing,1,1,False,infer_no_explanation,ImportanceCategorization,"[0.9696969985961914, 0.6304348111152649, 0.13847675919532776, 0.10526315867900848, 0.5882353186607361]",,"{0: 0.5, 1: 0.5}",0,5.0,False,
1,6,6,1,2,single_condition,shap,importance,wine_quality,1132,testing,2,1,True,infer_with_explanation,ImportanceCategorization,"[1.3333333730697632, 0.8913043737411499, 0.26706230640411377, 0.15789473056793213, 0.6274510025978088]","[1.0, 0.551990870856599, 0.051119793591298146, 0.11410740899300456, 0.07836810626713406]","{0: 0.09863979843428448, 1: 0.9013602015657155}",1,5.0,True,
1,6,7,1,3,single_condition,shap,importance,wine_quality,289,testing,3,0,False,infer_no_explanation,ImportanceCategorization,"[0.0, 1.04347825050354, 0.860534131526947, 0.2631579041481018, 0.27450981736183167]",,"{0: 0.5, 1: 0.5}",0,5.0,True,
0,6,8,1,4,single_condition,shap,importance,wine_quality,1371,testing,4,1,True,infer_with_explanation,ImportanceCategorization,"[0.7272727489471436, 1.2173912525177002, 0.029673591256141663, 0.5438596606254578, 0.29411765933036804]","[0.9883043262969465, 1.0, 0.7582291945585017, 0.07613573687168808, 0.16586757168520946]","{0: 0.531628071736899, 1: 0.4683719282631012}",0,5.0,False,
1,6,9,1,5,single_condition,shap,importance,wine_quality,216,testing,5,0,True,infer_with_explanation,ImportanceCategorization,"[0.5454545617103577, 0.21739129722118378, 0.37586548924446106, 0.6228070259094238, 0.1568627506494522]","[0.4075323462715724, 1.0, 0.070142364681111, 0.8805371969894272, 0.14431521676382503]","{0: 0.9065655114435591, 1: 0.0934344885564408}",0,5.0,True,
1,6,10,1,6,single_condition,shap,importance,wine_quality,566,testing,6,0,False,infer_no_explanation,ImportanceCategorization,"[-0.06060606241226196, 0.28260868787765503, 0.03956478834152222, 0.7543859481811523, 0.5098039507865906]",,"{0: 0.5, 1: 0.5}",0,5.0,True,
0,7,1,1,1,single_condition,integrated_gradients,none,wine_quality,516,training,1,1,,infer_no_explanation,SensitiveFeatures,"[0.8181818127632141, 0.5869565010070801, 0.029673591256141663, 0.5789473652839661, 0.37254902720451355]",,"{0: 0.5, 1: 0.5}",0,0.1,False,5.0
0,7,2,1,2,single_condition,integrated_gradients,none,wine_quality,1464,training,2,0,,infer_no_explanation,SensitiveFeatures,"[0.1515151560306549, 0.43478259444236755, 0.4154302775859833, 0.5614035129547119, 0.686274528503418]",,{1: 1.0},1,0.09999999999999964,False,5.0
1,7,3,1,3,single_condition,integrated_gradients,none,wine_quality,1133,training,3,0,,infer_no_explanation,SensitiveFeatures,"[0.6060606241226196, 0.45652174949645996, 0.06923837959766388, 0.3684210479259491, 0.6078431606292725]",,"{1: 0.435339822030639, 0: 0.5646601779693611}",0,0.09999999999999964,True,5.0
0,7,4,1,4,single_condition,integrated_gradients,none,wine_quality,589,training,4,1,,infer_no_explanation,SensitiveFeatures,"[0.39393940567970276, 0.5869565010070801, 0.01978239417076111, 0.035087719559669495, -0.019607843831181526]",,"{1: 0.25711075767272246, 0: 0.7428892423272775}",0,0.09999999999999964,False,5.0
0,7,5,1,1,single_condition,integrated_gradients,none,wine_quality,90,testing,1,0,True,infer_no_explanation,SensitiveFeatures,"[0.09090909361839294, 0.15217390656471252, 1.275964379310608, 0.4385964870452881, 0.3333333432674408]",,"{1: 0.5238132912982948, 0: 0.4761867087017052}",1,0.10000000000000142,False,
1,7,6,1,2,single_condition,integrated_gradients,none,wine_quality,845,testing,2,0,True,infer_no_explanation,SensitiveFeatures,"[0.1818181872367859, 0.41304346919059753, 0.19782394170761108, 0.6491228342056274, 1.0392156839370728]",,"{1: 0.45636956796571915, 0: 0.543630432034281}",0,0.10000000000000142,True,
1,7,7,1,3,single_condition,integrated_gradients,none,wine_quality,1267,testing,3,1,False,infer_no_explanation,SensitiveFeatures,"[0.6666666865348816, 0.8695651888847351, 0.07912957668304443, 0.28070175647735596, 0.0784313753247261]",,"{1: 0.5298237762396312, 0: 0.4701762237603689}",1,0.10000000000000142,True,
1,7,8,1,4,single_condition,integrated_gradients,none,wine_quality,964,testing,4,1,True,infer_no_explanation,SensitiveFeatures,"[0.5757575631141663, 0.8260869383811951, 0.26706230640411377, 0.35087719559669495, 0.19607843458652496]",,"{1: 0.5196089681544491, 0: 0.48039103184555093}",1,0.10000000000000142,True,
1,7,9,1,5,single_condition,integrated_gradients,none,wine_quality,1016,testing,5,1,False,infer_no_explanation,SensitiveFeatures,"[1.0303030014038086, 0.6086956262588501, 0.16815035045146942, 0.19298245012760162, 0.4117647111415863]",,"{1: 0.5054559065655682, 0: 0.49454409343443184}",1,0.10000000000000142,True,
0,7,10,1,6,single_condition,integrated_gradients,none,wine_quality,1218,testing,6,0,False,infer_no_explanation,SensitiveFeatures,"[0.42424243688583374, 0.47826087474823, 0.1285855621099472, 0.22807016968727112, 0.3529411852359772]",,"{1: 0.5076817049591621, 0: 0.49231829504083785}",1,0.10000000000000142,False,
1,8,1,1,1,single_condition,integrated_gradients,attribution,wine_quality,112,training,1,0,,infer_no_explanation,AttributionSum,"[0.1818181872367859, 0.41304346919059753, 0.9891197085380554, 0.5789473652839661, 0.1764705926179886]",,"{0: 0.5, 1: 0.5}",0,5.0,True,
